epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1627844576400,2021-08-01T15:02:56.400,0.000,-1.098,-0.915,-0.793
1627844576410,2021-08-01T15:02:56.410,0.010,-1.220,-0.915,-0.854
1627844576420,2021-08-01T15:02:56.420,0.020,-0.915,-0.610,-1.098
1627844576430,2021-08-01T15:02:56.430,0.030,-0.549,-0.427,-0.854
1627844576440,2021-08-01T15:02:56.440,0.040,-0.488,-0.183,-0.854
1627844576450,2021-08-01T15:02:56.450,0.050,-0.305,0.000,-0.976
1627844576460,2021-08-01T15:02:56.460,0.060,-0.061,0.427,-0.671
1627844576470,2021-08-01T15:02:56.470,0.070,-0.061,0.671,-0.488
1627844576480,2021-08-01T15:02:56.480,0.080,-0.366,0.854,-0.610
1627844576490,2021-08-01T15:02:56.490,0.090,-0.305,0.976,-0.671
1627844576500,2021-08-01T15:02:56.500,0.100,0.122,1.159,-0.610
1627844576510,2021-08-01T15:02:56.510,0.110,0.244,1.098,-0.732
1627844576520,2021-08-01T15:02:56.520,0.120,0.000,1.037,-0.793
1627844576530,2021-08-01T15:02:56.530,0.130,-0.244,0.793,-0.915
1627844576540,2021-08-01T15:02:56.540,0.140,-0.488,0.732,-0.976
1627844576550,2021-08-01T15:02:56.550,0.150,-0.671,0.549,-1.280
1627844576560,2021-08-01T15:02:56.560,0.160,-0.610,0.427,-1.341
1627844576570,2021-08-01T15:02:56.570,0.170,-0.305,0.427,-1.220
1627844576580,2021-08-01T15:02:56.580,0.180,-0.183,0.427,-1.159
1627844576590,2021-08-01T15:02:56.590,0.190,-0.305,0.366,-1.098
1627844576600,2021-08-01T15:02:56.600,0.200,-0.244,0.427,-0.732
1627844576610,2021-08-01T15:02:56.610,0.210,-0.183,0.549,-0.549
1627844576620,2021-08-01T15:02:56.620,0.220,-0.366,0.488,-0.427
1627844576630,2021-08-01T15:02:56.630,0.230,-0.549,0.549,-0.427
1627844576640,2021-08-01T15:02:56.640,0.240,-0.793,0.549,-0.488
1627844576650,2021-08-01T15:02:56.650,0.250,-0.793,0.610,-0.366
