epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1602947759570,2020-10-17T11:15:59.570,12.484,99399.156
1602947759706,2020-10-17T11:15:59.706,12.620,99399.641
1602947759842,2020-10-17T11:15:59.842,12.756,99400.469
1602947759977,2020-10-17T11:15:59.977,12.891,99401.781
1602947760113,2020-10-17T11:16:00.113,13.027,99402.648
1602947760249,2020-10-17T11:16:00.249,13.163,99411.375
1602947760384,2020-10-17T11:16:00.384,13.298,99400.844
1602947760520,2020-10-17T11:16:00.520,13.434,99407.430
1602947760657,2020-10-17T11:16:00.657,13.571,99411.375
1602947760791,2020-10-17T11:16:00.791,13.705,99402.164
1602947760928,2020-10-17T11:16:00.928,13.842,99400.016
1602947761062,2020-10-17T11:16:01.062,13.976,99399.531
1602947761199,2020-10-17T11:16:01.199,14.113,99399.531
1602947761335,2020-10-17T11:16:01.335,14.249,99400.844
1602947761470,2020-10-17T11:16:01.470,14.384,99403.484
1602947761606,2020-10-17T11:16:01.606,14.520,99402.164
1602947761742,2020-10-17T11:16:01.742,14.656,99403.000
1602947761877,2020-10-17T11:16:01.877,14.791,99401.672
1602947762013,2020-10-17T11:16:02.013,14.927,99401.672
1602947762148,2020-10-17T11:16:02.148,15.062,99399.047
1602947762284,2020-10-17T11:16:02.284,15.198,99401.672
1602947762420,2020-10-17T11:16:02.420,15.334,99403.820
1602947762555,2020-10-17T11:16:02.555,15.469,99400.359
1602947762691,2020-10-17T11:16:02.691,15.605,99402.047
1602947762827,2020-10-17T11:16:02.827,15.741,99404.203
1602947762964,2020-10-17T11:16:02.964,15.878,99403.820
1602947763098,2020-10-17T11:16:03.098,16.012,99398.555
1602947763235,2020-10-17T11:16:03.235,16.149,99401.188
1602947763369,2020-10-17T11:16:03.369,16.283,99403.375
1602947763506,2020-10-17T11:16:03.506,16.420,99400.734
1602947763642,2020-10-17T11:16:03.642,16.556,99401.188
1602947763778,2020-10-17T11:16:03.778,16.692,99396.297
1602947763913,2020-10-17T11:16:03.913,16.827,99401.563
1602947764048,2020-10-17T11:16:04.048,16.962,99398.930
1602947764184,2020-10-17T11:16:04.184,17.098,99397.617
1602947764320,2020-10-17T11:16:04.320,17.234,99402.883
1602947764455,2020-10-17T11:16:04.455,17.369,99400.250
1602947764591,2020-10-17T11:16:04.591,17.505,99401.563
1602947764727,2020-10-17T11:16:04.727,17.641,99405.891
1602947764862,2020-10-17T11:16:04.862,17.776,99400.250
1602947764998,2020-10-17T11:16:04.998,17.912,99404.203
1602947765135,2020-10-17T11:16:05.135,18.049,99399.422
1602947765269,2020-10-17T11:16:05.269,18.183,99404.578
1602947765406,2020-10-17T11:16:05.406,18.320,99408.531
1602947765542,2020-10-17T11:16:05.542,18.456,99407.664
1602947765677,2020-10-17T11:16:05.677,18.591,99400.141
1602947765813,2020-10-17T11:16:05.813,18.727,99401.078
1602947765949,2020-10-17T11:16:05.949,18.863,99398.828
1602947766084,2020-10-17T11:16:06.084,18.998,99400.625
1602947766220,2020-10-17T11:16:06.220,19.134,99400.250
1602947766355,2020-10-17T11:16:06.355,19.269,99404.094
1602947766491,2020-10-17T11:16:06.491,19.405,99401.938
1602947766627,2020-10-17T11:16:06.627,19.541,99401.938
1602947766762,2020-10-17T11:16:06.762,19.676,99401.453
1602947766898,2020-10-17T11:16:06.898,19.812,99407.555
1602947767034,2020-10-17T11:16:07.034,19.948,99402.281
1602947767169,2020-10-17T11:16:07.169,20.083,99402.281
