epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1602947136857,2020-10-17T11:05:36.857,0.000,0.732,0.427,-1.220
1602947136867,2020-10-17T11:05:36.867,0.010,0.854,0.427,-1.524
1602947136877,2020-10-17T11:05:36.877,0.020,0.793,0.366,-0.915
1602947136887,2020-10-17T11:05:36.887,0.030,0.671,0.183,-0.671
1602947136897,2020-10-17T11:05:36.897,0.040,0.854,0.183,-0.793
1602947136907,2020-10-17T11:05:36.907,0.050,0.732,0.122,-0.915
1602947136917,2020-10-17T11:05:36.917,0.060,0.793,0.061,-0.915
1602947136927,2020-10-17T11:05:36.927,0.070,0.793,-0.122,-0.976
1602947136937,2020-10-17T11:05:36.937,0.080,0.549,-0.244,-1.098
1602947136947,2020-10-17T11:05:36.947,0.090,0.427,-0.488,-1.037
1602947136957,2020-10-17T11:05:36.957,0.100,0.427,-0.610,-0.976
1602947136967,2020-10-17T11:05:36.967,0.110,0.305,-0.854,-0.915
1602947136977,2020-10-17T11:05:36.977,0.120,0.061,-0.854,-0.854
1602947136987,2020-10-17T11:05:36.987,0.130,0.183,-0.854,-0.732
1602947136997,2020-10-17T11:05:36.997,0.140,0.366,-0.793,-0.610
1602947137007,2020-10-17T11:05:37.007,0.150,0.488,-0.671,-0.427
1602947137017,2020-10-17T11:05:37.017,0.160,0.305,-0.488,-0.427
1602947137027,2020-10-17T11:05:37.027,0.170,0.305,-0.305,-0.366
1602947137037,2020-10-17T11:05:37.037,0.180,0.183,-0.244,-0.244
1602947137047,2020-10-17T11:05:37.047,0.190,0.061,-0.244,-0.061
1602947137057,2020-10-17T11:05:37.057,0.200,0.122,0.000,-0.122
1602947137067,2020-10-17T11:05:37.067,0.210,0.305,0.000,-0.244
1602947137077,2020-10-17T11:05:37.077,0.220,0.244,0.183,-0.549
1602947137087,2020-10-17T11:05:37.087,0.230,0.122,0.244,-0.732
1602947137097,2020-10-17T11:05:37.097,0.240,0.122,0.183,-0.671
1602947137107,2020-10-17T11:05:37.107,0.250,0.000,0.061,-0.732
1602947137117,2020-10-17T11:05:37.117,0.260,-0.244,-0.061,-0.915
1602947137127,2020-10-17T11:05:37.127,0.270,-0.427,-0.122,-0.915
1602947137137,2020-10-17T11:05:37.137,0.280,-0.305,-0.244,-0.793
1602947137147,2020-10-17T11:05:37.147,0.290,-0.366,-0.427,-0.549
1602947137157,2020-10-17T11:05:37.157,0.300,-0.488,-0.488,-0.366
1602947137167,2020-10-17T11:05:37.167,0.310,-0.671,-0.549,-0.549
1602947137177,2020-10-17T11:05:37.177,0.320,-1.341,-0.610,-0.976
1602947137187,2020-10-17T11:05:37.187,0.330,-1.707,-0.732,-1.098
1602947137197,2020-10-17T11:05:37.197,0.340,-1.707,-0.793,-1.159
1602947137207,2020-10-17T11:05:37.207,0.350,-1.524,-0.732,-1.646
1602947137217,2020-10-17T11:05:37.217,0.360,-1.159,-0.549,-2.073
1602947137227,2020-10-17T11:05:37.227,0.370,-0.610,-0.488,-2.195
1602947137237,2020-10-17T11:05:37.237,0.380,-0.061,-0.427,-2.012
1602947137247,2020-10-17T11:05:37.247,0.390,0.122,-0.244,-2.012
