epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1602949925490,2020-10-17T11:52:05.490,0.000,-0.701,-0.635,0.346
1602949925500,2020-10-17T11:52:05.500,0.010,-0.704,-0.640,0.349
1602949925510,2020-10-17T11:52:05.510,0.020,-0.702,-0.636,0.350
1602949925520,2020-10-17T11:52:05.520,0.030,-0.698,-0.633,0.353
1602949925530,2020-10-17T11:52:05.530,0.040,-0.697,-0.633,0.348
1602949925540,2020-10-17T11:52:05.540,0.050,-0.696,-0.632,0.348
1602949925550,2020-10-17T11:52:05.550,0.060,-0.699,-0.631,0.353
1602949925560,2020-10-17T11:52:05.560,0.070,-0.700,-0.632,0.352
1602949925570,2020-10-17T11:52:05.570,0.080,-0.698,-0.634,0.351
1602949925580,2020-10-17T11:52:05.580,0.090,-0.701,-0.635,0.352
1602949925590,2020-10-17T11:52:05.590,0.100,-0.699,-0.637,0.353
1602949925600,2020-10-17T11:52:05.600,0.110,-0.700,-0.635,0.355
1602949925610,2020-10-17T11:52:05.610,0.120,-0.702,-0.637,0.353
1602949925620,2020-10-17T11:52:05.620,0.130,-0.702,-0.637,0.354
1602949925630,2020-10-17T11:52:05.630,0.140,-0.702,-0.636,0.356
1602949925640,2020-10-17T11:52:05.640,0.150,-0.706,-0.633,0.356
1602949925650,2020-10-17T11:52:05.650,0.160,-0.706,-0.634,0.354
1602949925660,2020-10-17T11:52:05.660,0.170,-0.703,-0.637,0.352
1602949925670,2020-10-17T11:52:05.670,0.180,-0.700,-0.643,0.355
1602949925680,2020-10-17T11:52:05.680,0.190,-0.701,-0.636,0.356
1602949925690,2020-10-17T11:52:05.690,0.200,-0.706,-0.625,0.359
1602949925700,2020-10-17T11:52:05.700,0.210,-0.708,-0.624,0.358
1602949925710,2020-10-17T11:52:05.710,0.220,-0.705,-0.630,0.357
1602949925720,2020-10-17T11:52:05.720,0.230,-0.706,-0.629,0.360
1602949925730,2020-10-17T11:52:05.730,0.240,-0.707,-0.630,0.359
1602949925740,2020-10-17T11:52:05.740,0.250,-0.707,-0.635,0.356
1602949925750,2020-10-17T11:52:05.750,0.260,-0.703,-0.639,0.356
1602949925760,2020-10-17T11:52:05.760,0.270,-0.705,-0.637,0.355
1602949925770,2020-10-17T11:52:05.770,0.280,-0.707,-0.629,0.355
1602949925780,2020-10-17T11:52:05.780,0.290,-0.708,-0.624,0.359
1602949925790,2020-10-17T11:52:05.790,0.300,-0.708,-0.622,0.358
1602949925800,2020-10-17T11:52:05.800,0.310,-0.707,-0.623,0.358
1602949925810,2020-10-17T11:52:05.810,0.320,-0.706,-0.625,0.358
1602949925820,2020-10-17T11:52:05.820,0.330,-0.707,-0.626,0.357
1602949925830,2020-10-17T11:52:05.830,0.340,-0.706,-0.624,0.361
1602949925840,2020-10-17T11:52:05.840,0.350,-0.704,-0.626,0.361
1602949925850,2020-10-17T11:52:05.850,0.360,-0.698,-0.634,0.357
1602949925860,2020-10-17T11:52:05.860,0.370,-0.707,-0.633,0.355
1602949925870,2020-10-17T11:52:05.870,0.380,-0.712,-0.622,0.358
1602949925880,2020-10-17T11:52:05.880,0.390,-0.704,-0.619,0.359
1602949925890,2020-10-17T11:52:05.890,0.400,-0.697,-0.629,0.358
1602949925900,2020-10-17T11:52:05.900,0.410,-0.703,-0.632,0.356
1602949925910,2020-10-17T11:52:05.910,0.420,-0.704,-0.623,0.356
1602949925920,2020-10-17T11:52:05.920,0.430,-0.700,-0.623,0.355
1602949925930,2020-10-17T11:52:05.930,0.440,-0.698,-0.625,0.355
1602949925940,2020-10-17T11:52:05.940,0.450,-0.690,-0.623,0.355
1602949925950,2020-10-17T11:52:05.950,0.460,-0.686,-0.621,0.357
1602949925960,2020-10-17T11:52:05.960,0.470,-0.688,-0.617,0.354
1602949925970,2020-10-17T11:52:05.970,0.480,-0.689,-0.614,0.354
1602949925980,2020-10-17T11:52:05.980,0.490,-0.681,-0.618,0.354
1602949925990,2020-10-17T11:52:05.990,0.500,-0.678,-0.615,0.350
1602949926000,2020-10-17T11:52:06.000,0.510,-0.680,-0.611,0.354
1602949926010,2020-10-17T11:52:06.010,0.520,-0.679,-0.610,0.351
1602949926020,2020-10-17T11:52:06.020,0.530,-0.678,-0.605,0.357
1602949926030,2020-10-17T11:52:06.030,0.540,-0.681,-0.602,0.359
1602949926040,2020-10-17T11:52:06.040,0.550,-0.690,-0.604,0.358
1602949926050,2020-10-17T11:52:06.050,0.560,-0.700,-0.604,0.361
1602949926060,2020-10-17T11:52:06.060,0.570,-0.707,-0.608,0.362
1602949926070,2020-10-17T11:52:06.070,0.580,-0.711,-0.610,0.364
1602949926080,2020-10-17T11:52:06.080,0.590,-0.719,-0.610,0.371
1602949926090,2020-10-17T11:52:06.090,0.600,-0.724,-0.609,0.370
1602949926100,2020-10-17T11:52:06.100,0.610,-0.729,-0.613,0.373
1602949926110,2020-10-17T11:52:06.110,0.620,-0.735,-0.618,0.371
1602949926120,2020-10-17T11:52:06.120,0.630,-0.734,-0.618,0.373
1602949926130,2020-10-17T11:52:06.130,0.640,-0.736,-0.616,0.374
1602949926140,2020-10-17T11:52:06.140,0.650,-0.738,-0.611,0.374
1602949926150,2020-10-17T11:52:06.150,0.660,-0.740,-0.612,0.375
1602949926160,2020-10-17T11:52:06.160,0.670,-0.741,-0.612,0.374
1602949926170,2020-10-17T11:52:06.170,0.680,-0.747,-0.613,0.374
1602949926180,2020-10-17T11:52:06.180,0.690,-0.749,-0.606,0.376
