epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1602946901184,2020-10-17T11:01:41.184,0.000,-0.640,-0.757,0.124
1602946901194,2020-10-17T11:01:41.194,0.010,-0.646,-0.772,0.124
1602946901204,2020-10-17T11:01:41.204,0.020,-0.647,-0.775,0.116
1602946901214,2020-10-17T11:01:41.214,0.030,-0.646,-0.775,0.117
1602946901224,2020-10-17T11:01:41.224,0.040,-0.649,-0.769,0.119
1602946901234,2020-10-17T11:01:41.234,0.050,-0.649,-0.761,0.121
1602946901244,2020-10-17T11:01:41.244,0.060,-0.651,-0.761,0.117
1602946901254,2020-10-17T11:01:41.254,0.070,-0.651,-0.766,0.116
1602946901264,2020-10-17T11:01:41.264,0.080,-0.651,-0.771,0.108
1602946901274,2020-10-17T11:01:41.274,0.090,-0.650,-0.777,0.109
1602946901284,2020-10-17T11:01:41.284,0.100,-0.652,-0.784,0.106
1602946901294,2020-10-17T11:01:41.294,0.110,-0.647,-0.785,0.110
1602946901304,2020-10-17T11:01:41.304,0.120,-0.653,-0.772,0.112
1602946901314,2020-10-17T11:01:41.314,0.130,-0.649,-0.758,0.119
1602946901324,2020-10-17T11:01:41.324,0.140,-0.644,-0.749,0.121
1602946901334,2020-10-17T11:01:41.334,0.150,-0.639,-0.746,0.121
1602946901344,2020-10-17T11:01:41.344,0.160,-0.631,-0.747,0.118
1602946901354,2020-10-17T11:01:41.354,0.170,-0.626,-0.751,0.118
1602946901364,2020-10-17T11:01:41.364,0.180,-0.624,-0.758,0.114
1602946901374,2020-10-17T11:01:41.374,0.190,-0.626,-0.760,0.111
1602946901384,2020-10-17T11:01:41.384,0.200,-0.634,-0.762,0.107
1602946901394,2020-10-17T11:01:41.394,0.210,-0.636,-0.759,0.104
1602946901404,2020-10-17T11:01:41.404,0.220,-0.639,-0.759,0.109
1602946901414,2020-10-17T11:01:41.414,0.230,-0.639,-0.762,0.111
1602946901424,2020-10-17T11:01:41.424,0.240,-0.641,-0.765,0.107
1602946901434,2020-10-17T11:01:41.434,0.250,-0.646,-0.769,0.108
1602946901444,2020-10-17T11:01:41.444,0.260,-0.649,-0.762,0.106
1602946901454,2020-10-17T11:01:41.454,0.270,-0.652,-0.766,0.108
1602946901464,2020-10-17T11:01:41.464,0.280,-0.650,-0.771,0.106
1602946901474,2020-10-17T11:01:41.474,0.290,-0.650,-0.771,0.108
1602946901484,2020-10-17T11:01:41.484,0.300,-0.653,-0.771,0.104
1602946901494,2020-10-17T11:01:41.494,0.310,-0.653,-0.773,0.101
1602946901504,2020-10-17T11:01:41.504,0.320,-0.653,-0.775,0.101
1602946901514,2020-10-17T11:01:41.514,0.330,-0.651,-0.776,0.098
1602946901524,2020-10-17T11:01:41.524,0.340,-0.648,-0.777,0.102
1602946901534,2020-10-17T11:01:41.534,0.350,-0.650,-0.778,0.099
1602946901544,2020-10-17T11:01:41.544,0.360,-0.643,-0.773,0.099
1602946901554,2020-10-17T11:01:41.554,0.370,-0.633,-0.774,0.098
1602946901564,2020-10-17T11:01:41.564,0.380,-0.629,-0.773,0.097
1602946901574,2020-10-17T11:01:41.574,0.390,-0.627,-0.765,0.103
1602946901584,2020-10-17T11:01:41.584,0.400,-0.625,-0.762,0.105
1602946901594,2020-10-17T11:01:41.594,0.410,-0.619,-0.761,0.108
1602946901604,2020-10-17T11:01:41.604,0.420,-0.612,-0.771,0.105
1602946901614,2020-10-17T11:01:41.614,0.430,-0.604,-0.778,0.104
1602946901624,2020-10-17T11:01:41.624,0.440,-0.600,-0.778,0.108
1602946901634,2020-10-17T11:01:41.634,0.450,-0.591,-0.775,0.104
1602946901644,2020-10-17T11:01:41.644,0.460,-0.590,-0.775,0.107
1602946901654,2020-10-17T11:01:41.654,0.470,-0.592,-0.771,0.113
1602946901664,2020-10-17T11:01:41.664,0.480,-0.601,-0.762,0.114
1602946901674,2020-10-17T11:01:41.674,0.490,-0.609,-0.759,0.116
1602946901684,2020-10-17T11:01:41.684,0.500,-0.614,-0.764,0.117
1602946901694,2020-10-17T11:01:41.694,0.510,-0.618,-0.772,0.116
1602946901704,2020-10-17T11:01:41.704,0.520,-0.621,-0.776,0.115
1602946901714,2020-10-17T11:01:41.714,0.530,-0.627,-0.777,0.116
1602946901724,2020-10-17T11:01:41.724,0.540,-0.635,-0.775,0.112
1602946901734,2020-10-17T11:01:41.734,0.550,-0.645,-0.770,0.113
1602946901744,2020-10-17T11:01:41.744,0.560,-0.648,-0.771,0.112
1602946901754,2020-10-17T11:01:41.754,0.570,-0.650,-0.768,0.110
1602946901764,2020-10-17T11:01:41.764,0.580,-0.650,-0.766,0.112
1602946901774,2020-10-17T11:01:41.774,0.590,-0.646,-0.767,0.115
1602946901784,2020-10-17T11:01:41.784,0.600,-0.644,-0.767,0.114
1602946901794,2020-10-17T11:01:41.794,0.610,-0.644,-0.760,0.116
1602946901804,2020-10-17T11:01:41.804,0.620,-0.643,-0.759,0.116
1602946901814,2020-10-17T11:01:41.814,0.630,-0.640,-0.760,0.115
1602946901824,2020-10-17T11:01:41.824,0.640,-0.635,-0.765,0.113
1602946901834,2020-10-17T11:01:41.834,0.650,-0.632,-0.770,0.107
1602946901844,2020-10-17T11:01:41.844,0.660,-0.631,-0.768,0.106
1602946901854,2020-10-17T11:01:41.854,0.670,-0.634,-0.760,0.104
1602946901864,2020-10-17T11:01:41.864,0.680,-0.642,-0.750,0.099
1602946901874,2020-10-17T11:01:41.874,0.690,-0.648,-0.747,0.100
1602946901884,2020-10-17T11:01:41.884,0.700,-0.650,-0.746,0.097
1602946901894,2020-10-17T11:01:41.894,0.710,-0.647,-0.747,0.096
1602946901904,2020-10-17T11:01:41.904,0.720,-0.644,-0.754,0.097
1602946901914,2020-10-17T11:01:41.914,0.730,-0.654,-0.755,0.093
1602946901924,2020-10-17T11:01:41.924,0.740,-0.653,-0.758,0.088
1602946901934,2020-10-17T11:01:41.934,0.750,-0.644,-0.760,0.086
1602946901944,2020-10-17T11:01:41.944,0.760,-0.638,-0.765,0.083
1602946901954,2020-10-17T11:01:41.954,0.770,-0.644,-0.767,0.078
1602946901964,2020-10-17T11:01:41.964,0.780,-0.649,-0.764,0.078
1602946901974,2020-10-17T11:01:41.974,0.790,-0.654,-0.760,0.078
1602946901984,2020-10-17T11:01:41.984,0.800,-0.660,-0.761,0.076
1602946901994,2020-10-17T11:01:41.994,0.810,-0.661,-0.765,0.074
1602946902004,2020-10-17T11:01:42.004,0.820,-0.662,-0.772,0.072
1602946902014,2020-10-17T11:01:42.014,0.830,-0.666,-0.770,0.075
1602946902024,2020-10-17T11:01:42.024,0.840,-0.666,-0.762,0.075
1602946902034,2020-10-17T11:01:42.034,0.850,-0.665,-0.758,0.078
1602946902044,2020-10-17T11:01:42.044,0.860,-0.662,-0.760,0.080
1602946902054,2020-10-17T11:01:42.054,0.870,-0.659,-0.764,0.082
1602946902064,2020-10-17T11:01:42.064,0.880,-0.659,-0.766,0.082
1602946902074,2020-10-17T11:01:42.074,0.890,-0.660,-0.761,0.078
1602946902084,2020-10-17T11:01:42.084,0.900,-0.660,-0.759,0.079
1602946902094,2020-10-17T11:01:42.094,0.910,-0.659,-0.762,0.079
1602946902104,2020-10-17T11:01:42.104,0.920,-0.661,-0.757,0.080
1602946902114,2020-10-17T11:01:42.114,0.930,-0.665,-0.759,0.076
1602946902124,2020-10-17T11:01:42.124,0.940,-0.671,-0.761,0.073
1602946902134,2020-10-17T11:01:42.134,0.950,-0.671,-0.763,0.072
1602946902144,2020-10-17T11:01:42.144,0.960,-0.667,-0.768,0.067
1602946902154,2020-10-17T11:01:42.154,0.970,-0.660,-0.765,0.068
1602946902164,2020-10-17T11:01:42.164,0.980,-0.660,-0.762,0.070
1602946902174,2020-10-17T11:01:42.174,0.990,-0.654,-0.760,0.066
1602946902184,2020-10-17T11:01:42.184,1.000,-0.646,-0.760,0.066
