epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1602946179309,2020-10-17T10:49:39.309,0.000,99390.273
1602946179443,2020-10-17T10:49:39.443,0.134,99384.547
1602946179580,2020-10-17T10:49:39.580,0.271,99388.031
1602946179716,2020-10-17T10:49:39.716,0.407,99382.406
1602946179851,2020-10-17T10:49:39.851,0.542,99388.031
1602946179987,2020-10-17T10:49:39.987,0.678,99389.344
1602946180122,2020-10-17T10:49:40.122,0.813,99385.406
1602946180258,2020-10-17T10:49:40.258,0.949,99388.391
1602946180394,2020-10-17T10:49:40.394,1.085,99382.305
1602946180529,2020-10-17T10:49:40.529,1.220,99380.516
1602946180665,2020-10-17T10:49:40.665,1.356,99390.078
1602946180801,2020-10-17T10:49:40.801,1.492,99390.531
1602946180937,2020-10-17T10:49:40.937,1.628,99387.078
1602946181072,2020-10-17T10:49:41.072,1.763,99383.969
1602946181208,2020-10-17T10:49:41.208,1.899,99389.602
1602946181345,2020-10-17T10:49:41.345,2.036,99379.945
1602946181479,2020-10-17T10:49:41.479,2.170,99387.813
1602946181616,2020-10-17T10:49:41.616,2.307,99389.125
1602946181750,2020-10-17T10:49:41.750,2.441,99386.891
1602946181887,2020-10-17T10:49:41.887,2.578,99390.344
1602946182023,2020-10-17T10:49:42.023,2.714,99389.516
1602946182158,2020-10-17T10:49:42.158,2.849,99384.609
1602946182294,2020-10-17T10:49:42.294,2.985,99389.766
1602946182430,2020-10-17T10:49:42.430,3.121,99384.516
1602946182565,2020-10-17T10:49:42.565,3.256,99384.453
1602946182701,2020-10-17T10:49:42.701,3.392,99389.219
1602946182836,2020-10-17T10:49:42.836,3.527,99389.609
1602946182972,2020-10-17T10:49:42.972,3.663,99395.234
1602946183108,2020-10-17T10:49:43.108,3.799,99386.508
1602946183243,2020-10-17T10:49:43.243,3.934,99387.813
1602946183379,2020-10-17T10:49:43.379,4.070,99386.891
1602946183516,2020-10-17T10:49:43.516,4.207,99388.203
1602946183650,2020-10-17T10:49:43.650,4.341,99387.242
1602946183787,2020-10-17T10:49:43.787,4.478,99386.313
1602946183921,2020-10-17T10:49:43.921,4.612,99388.938
1602946184058,2020-10-17T10:49:44.058,4.749,99390.641
1602946184194,2020-10-17T10:49:44.194,4.885,99388.359
1602946184329,2020-10-17T10:49:44.329,5.020,99388.016
1602946184465,2020-10-17T10:49:44.465,5.156,99387.438
1602946184601,2020-10-17T10:49:44.601,5.292,99386.125
1602946184736,2020-10-17T10:49:44.736,5.427,99387.789
1602946184872,2020-10-17T10:49:44.872,5.563,99383.859
1602946185007,2020-10-17T10:49:45.007,5.698,99383.758
1602946185143,2020-10-17T10:49:45.143,5.834,99385.063
1602946185279,2020-10-17T10:49:45.279,5.970,99383.758
1602946185414,2020-10-17T10:49:45.414,6.105,99387.211
1602946185550,2020-10-17T10:49:45.550,6.241,99386.281
1602946185687,2020-10-17T10:49:45.687,6.378,99387.984
1602946185821,2020-10-17T10:49:45.821,6.512,99383.563
1602946185958,2020-10-17T10:49:45.958,6.649,99383.563
1602946186092,2020-10-17T10:49:46.092,6.783,99385.703
1602946186229,2020-10-17T10:49:46.229,6.920,99384.781
1602946186365,2020-10-17T10:49:46.365,7.056,99385.609
1602946186499,2020-10-17T10:49:46.499,7.190,99380.750
1602946186636,2020-10-17T10:49:46.636,7.327,99386.828
1602946186772,2020-10-17T10:49:46.772,7.463,99382.891
1602946186907,2020-10-17T10:49:46.907,7.598,99381.930
1602946187043,2020-10-17T10:49:47.043,7.734,99384.555
1602946187178,2020-10-17T10:49:47.178,7.869,99381.000
1602946187314,2020-10-17T10:49:47.314,8.005,99382.703
1602946187450,2020-10-17T10:49:47.450,8.141,99388.297
1602946187585,2020-10-17T10:49:47.585,8.276,99383.047
1602946187721,2020-10-17T10:49:47.721,8.412,99386.063
1602946187857,2020-10-17T10:49:47.857,8.548,99387.375
1602946187992,2020-10-17T10:49:47.992,8.683,99385.102
1602946188128,2020-10-17T10:49:48.128,8.819,99389.031
1602946188263,2020-10-17T10:49:48.263,8.954,99381.156
1602946188399,2020-10-17T10:49:48.399,9.090,99388.453
1602946188536,2020-10-17T10:49:48.536,9.227,99385.828
1602946188670,2020-10-17T10:49:48.670,9.361,99384.906
1602946188807,2020-10-17T10:49:48.807,9.498,99386.219
1602946188943,2020-10-17T10:49:48.943,9.634,99386.219
1602946189078,2020-10-17T10:49:49.078,9.769,99382.664
1602946189214,2020-10-17T10:49:49.214,9.905,99385.289
1602946189349,2020-10-17T10:49:49.349,10.040,99382.188
1602946189485,2020-10-17T10:49:49.485,10.176,99386.469
1602946189621,2020-10-17T10:49:49.621,10.312,99392.586
1602946189756,2020-10-17T10:49:49.756,10.447,99386.023
1602946189892,2020-10-17T10:49:49.892,10.583,99386.375
1602946190028,2020-10-17T10:49:50.028,10.719,99382.438
1602946190163,2020-10-17T10:49:50.163,10.854,99391.078
1602946190299,2020-10-17T10:49:50.299,10.990,99393.219
1602946190436,2020-10-17T10:49:50.436,11.127,99379.266
1602946190570,2020-10-17T10:49:50.570,11.261,99389.188
1602946190707,2020-10-17T10:49:50.707,11.398,99381.313
1602946190841,2020-10-17T10:49:50.841,11.532,99383.938
1602946190978,2020-10-17T10:49:50.978,11.669,99385.156
1602946191114,2020-10-17T10:49:51.114,11.805,99383.844
1602946191249,2020-10-17T10:49:51.249,11.940,99386.469
1602946191385,2020-10-17T10:49:51.385,12.076,99379.773
1602946191521,2020-10-17T10:49:51.521,12.212,99385.891
1602946191656,2020-10-17T10:49:51.656,12.347,99383.719
1602946191792,2020-10-17T10:49:51.792,12.483,99388.422
1602946191928,2020-10-17T10:49:51.928,12.619,99385.797
1602946192063,2020-10-17T10:49:52.063,12.754,99380.547
1602946192199,2020-10-17T10:49:52.199,12.890,99384.828
1602946192335,2020-10-17T10:49:52.335,13.026,99384.352
1602946192470,2020-10-17T10:49:52.470,13.161,99380.406
1602946192606,2020-10-17T10:49:52.606,13.297,99380.547
1602946192741,2020-10-17T10:49:52.741,13.432,99380.891
1602946192877,2020-10-17T10:49:52.877,13.568,99385.563
1602946193014,2020-10-17T10:49:53.014,13.705,99379.000
1602946193148,2020-10-17T10:49:53.148,13.839,99385.945
1602946193285,2020-10-17T10:49:53.285,13.976,99380.703
1602946193421,2020-10-17T10:49:53.421,14.112,99383.320
1602946193556,2020-10-17T10:49:53.556,14.247,99386.781
1602946193692,2020-10-17T10:49:53.692,14.383,99385.469
1602946193828,2020-10-17T10:49:53.828,14.519,99383.672
1602946193963,2020-10-17T10:49:53.963,14.654,99378.813
1602946194099,2020-10-17T10:49:54.099,14.790,99377.016
1602946194234,2020-10-17T10:49:54.234,14.925,99381.430
1602946194370,2020-10-17T10:49:54.370,15.061,99380.500
1602946194506,2020-10-17T10:49:54.506,15.197,99377.391
1602946194641,2020-10-17T10:49:54.641,15.332,99377.875
1602946194777,2020-10-17T10:49:54.777,15.468,99385.273
1602946194914,2020-10-17T10:49:54.914,15.605,99381.336
1602946195048,2020-10-17T10:49:55.048,15.739,99379.922
1602946195185,2020-10-17T10:49:55.185,15.876,99387.313
1602946195321,2020-10-17T10:49:55.321,16.012,99388.148
