epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1602946901196,2020-10-17T11:01:41.196,0.000,-0.366,0.000,-0.549
1602946901206,2020-10-17T11:01:41.206,0.010,-0.122,-0.549,-0.854
1602946901216,2020-10-17T11:01:41.216,0.020,-0.793,-0.061,-1.463
1602946901226,2020-10-17T11:01:41.226,0.030,-1.159,0.488,-2.744
1602946901236,2020-10-17T11:01:41.236,0.040,-1.341,0.793,-3.476
1602946901246,2020-10-17T11:01:41.246,0.050,-1.524,0.854,-3.232
1602946901256,2020-10-17T11:01:41.256,0.060,-1.646,0.854,-2.805
1602946901266,2020-10-17T11:01:41.266,0.070,-1.890,1.037,-2.805
1602946901276,2020-10-17T11:01:41.276,0.080,-2.378,1.463,-3.171
1602946901286,2020-10-17T11:01:41.286,0.090,-2.317,2.012,-3.841
1602946901296,2020-10-17T11:01:41.296,0.100,-2.561,2.744,-4.817
1602946901306,2020-10-17T11:01:41.306,0.110,-2.866,3.171,-5.854
1602946901316,2020-10-17T11:01:41.316,0.120,-3.049,3.354,-6.037
1602946901326,2020-10-17T11:01:41.326,0.130,-2.988,3.232,-5.366
1602946901336,2020-10-17T11:01:41.336,0.140,-2.622,2.683,-4.329
1602946901346,2020-10-17T11:01:41.346,0.150,-2.500,1.890,-3.293
1602946901356,2020-10-17T11:01:41.356,0.160,-2.378,0.854,-2.317
1602946901366,2020-10-17T11:01:41.366,0.170,-2.256,-0.183,-1.341
1602946901376,2020-10-17T11:01:41.376,0.180,-2.134,-1.159,-0.915
1602946901386,2020-10-17T11:01:41.386,0.190,-1.707,-1.951,-1.098
1602946901396,2020-10-17T11:01:41.396,0.200,-1.280,-2.195,-1.220
1602946901406,2020-10-17T11:01:41.406,0.210,-0.915,-2.561,-1.280
1602946901416,2020-10-17T11:01:41.416,0.220,-0.610,-2.683,-1.098
1602946901426,2020-10-17T11:01:41.426,0.230,-0.488,-2.744,-0.732
1602946901436,2020-10-17T11:01:41.436,0.240,-0.549,-2.683,-0.610
1602946901446,2020-10-17T11:01:41.446,0.250,-0.793,-2.439,-0.366
1602946901456,2020-10-17T11:01:41.456,0.260,-0.976,-2.439,0.427
1602946901466,2020-10-17T11:01:41.466,0.270,-0.976,-2.378,1.402
1602946901476,2020-10-17T11:01:41.476,0.280,-1.220,-2.317,2.073
1602946901486,2020-10-17T11:01:41.486,0.290,-1.159,-2.195,2.378
1602946901496,2020-10-17T11:01:41.496,0.300,-1.159,-1.890,2.195
1602946901506,2020-10-17T11:01:41.506,0.310,-1.098,-1.463,1.890
1602946901516,2020-10-17T11:01:41.516,0.320,-0.732,-0.671,1.402
1602946901526,2020-10-17T11:01:41.526,0.330,-0.610,0.305,0.488
1602946901536,2020-10-17T11:01:41.536,0.340,-0.610,1.037,-0.244
1602946901546,2020-10-17T11:01:41.546,0.350,-0.732,1.768,-0.427
1602946901556,2020-10-17T11:01:41.556,0.360,-0.915,2.439,-0.244
1602946901566,2020-10-17T11:01:41.566,0.370,-0.976,2.866,-0.427
1602946901576,2020-10-17T11:01:41.576,0.380,-1.037,3.476,-0.732
1602946901586,2020-10-17T11:01:41.586,0.390,-0.671,3.963,-0.793
1602946901596,2020-10-17T11:01:41.596,0.400,-0.244,4.329,-0.427
1602946901606,2020-10-17T11:01:41.606,0.410,-0.122,4.695,0.122
1602946901616,2020-10-17T11:01:41.616,0.420,-0.366,4.939,0.427
1602946901626,2020-10-17T11:01:41.626,0.430,-0.976,4.695,0.488
1602946901636,2020-10-17T11:01:41.636,0.440,-1.707,4.024,0.915
1602946901646,2020-10-17T11:01:41.646,0.450,-2.317,3.232,1.646
1602946901656,2020-10-17T11:01:41.656,0.460,-2.927,2.012,2.195
1602946901666,2020-10-17T11:01:41.666,0.470,-3.354,1.098,2.805
1602946901676,2020-10-17T11:01:41.676,0.480,-3.232,0.427,3.476
1602946901686,2020-10-17T11:01:41.686,0.490,-3.171,-0.244,4.329
1602946901696,2020-10-17T11:01:41.696,0.500,-3.110,-0.671,5.000
1602946901706,2020-10-17T11:01:41.706,0.510,-3.232,-0.793,5.000
1602946901716,2020-10-17T11:01:41.716,0.520,-3.537,-0.915,4.512
1602946901726,2020-10-17T11:01:41.726,0.530,-3.963,-1.037,4.390
1602946901736,2020-10-17T11:01:41.736,0.540,-4.451,-1.037,4.573
1602946901746,2020-10-17T11:01:41.746,0.550,-4.756,-1.098,4.695
1602946901756,2020-10-17T11:01:41.756,0.560,-5.305,-1.220,4.695
1602946901766,2020-10-17T11:01:41.766,0.570,-5.732,-1.280,4.634
1602946901776,2020-10-17T11:01:41.776,0.580,-5.976,-1.402,4.085
1602946901786,2020-10-17T11:01:41.786,0.590,-6.098,-1.646,3.415
1602946901796,2020-10-17T11:01:41.796,0.600,-5.915,-2.012,2.561
1602946901806,2020-10-17T11:01:41.806,0.610,-5.732,-2.500,2.073
1602946901816,2020-10-17T11:01:41.816,0.620,-5.549,-2.988,2.012
1602946901826,2020-10-17T11:01:41.826,0.630,-5.549,-3.780,2.195
1602946901836,2020-10-17T11:01:41.836,0.640,-5.976,-4.512,2.012
1602946901846,2020-10-17T11:01:41.846,0.650,-6.646,-5.244,1.402
1602946901856,2020-10-17T11:01:41.856,0.660,-7.012,-5.610,0.732
1602946901866,2020-10-17T11:01:41.866,0.670,-7.256,-5.976,0.427
1602946901876,2020-10-17T11:01:41.876,0.680,-7.378,-6.037,0.732
1602946901886,2020-10-17T11:01:41.886,0.690,-7.561,-6.098,1.341
1602946901896,2020-10-17T11:01:41.896,0.700,-7.622,-6.159,2.134
1602946901906,2020-10-17T11:01:41.906,0.710,-7.683,-6.098,2.683
1602946901916,2020-10-17T11:01:41.916,0.720,-7.561,-6.159,3.232
1602946901926,2020-10-17T11:01:41.926,0.730,-7.439,-6.098,3.902
1602946901936,2020-10-17T11:01:41.936,0.740,-7.500,-6.098,3.963
1602946901946,2020-10-17T11:01:41.946,0.750,-7.378,-5.915,3.415
1602946901956,2020-10-17T11:01:41.956,0.760,-7.256,-5.610,2.500
1602946901966,2020-10-17T11:01:41.966,0.770,-7.378,-5.305,1.829
1602946901976,2020-10-17T11:01:41.976,0.780,-7.256,-5.000,1.829
1602946901986,2020-10-17T11:01:41.986,0.790,-7.073,-4.695,2.134
1602946901996,2020-10-17T11:01:41.996,0.800,-7.195,-4.512,2.561
1602946902006,2020-10-17T11:01:42.006,0.810,-7.012,-4.207,2.805
1602946902016,2020-10-17T11:01:42.016,0.820,-7.073,-3.720,2.256
1602946902026,2020-10-17T11:01:42.026,0.830,-7.134,-3.354,1.646
1602946902036,2020-10-17T11:01:42.036,0.840,-7.073,-3.171,1.585
1602946902046,2020-10-17T11:01:42.046,0.850,-7.012,-3.293,1.951
1602946902056,2020-10-17T11:01:42.056,0.860,-7.012,-3.415,1.951
1602946902066,2020-10-17T11:01:42.066,0.870,-6.829,-3.598,1.585
1602946902076,2020-10-17T11:01:42.076,0.880,-6.707,-3.780,1.280
1602946902086,2020-10-17T11:01:42.086,0.890,-6.585,-4.024,1.524
1602946902096,2020-10-17T11:01:42.096,0.900,-6.646,-4.146,1.707
1602946902106,2020-10-17T11:01:42.106,0.910,-6.585,-4.146,1.524
1602946902116,2020-10-17T11:01:42.116,0.920,-6.524,-3.963,1.524
1602946902126,2020-10-17T11:01:42.126,0.930,-6.585,-3.780,1.707
1602946902136,2020-10-17T11:01:42.136,0.940,-6.768,-3.476,1.829
1602946902146,2020-10-17T11:01:42.146,0.950,-6.768,-3.049,1.524
1602946902156,2020-10-17T11:01:42.156,0.960,-6.951,-2.622,1.037
1602946902166,2020-10-17T11:01:42.166,0.970,-7.012,-2.195,0.488
1602946902176,2020-10-17T11:01:42.176,0.980,-6.707,-1.768,-0.183
1602946902186,2020-10-17T11:01:42.186,0.990,-6.768,-1.463,-1.037
1602946902196,2020-10-17T11:01:42.196,1.000,-6.585,-1.524,-1.402
1602946902206,2020-10-17T11:01:42.206,1.010,-6.524,-1.829,-1.463
1602946902216,2020-10-17T11:01:42.216,1.020,-6.402,-1.951,-1.098
1602946902226,2020-10-17T11:01:42.226,1.030,-6.280,-1.951,-0.671
1602946902236,2020-10-17T11:01:42.236,1.040,-5.671,-1.951,0.000
1602946902246,2020-10-17T11:01:42.246,1.050,-5.610,-1.707,0.854
1602946902256,2020-10-17T11:01:42.256,1.060,-5.793,-1.646,0.610
1602946902266,2020-10-17T11:01:42.266,1.070,-5.610,-1.463,0.061
