epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1602949925412,2020-10-17T11:52:05.412,0.000,2.378,-1.646,0.793
1602949925422,2020-10-17T11:52:05.422,0.010,2.500,-1.280,0.915
1602949925432,2020-10-17T11:52:05.432,0.020,2.256,-1.098,1.037
1602949925442,2020-10-17T11:52:05.442,0.030,2.317,-1.098,1.037
1602949925452,2020-10-17T11:52:05.452,0.040,2.195,-0.732,1.098
1602949925462,2020-10-17T11:52:05.462,0.050,2.134,-0.610,1.098
1602949925472,2020-10-17T11:52:05.472,0.060,1.951,-0.793,1.159
1602949925482,2020-10-17T11:52:05.482,0.070,1.768,-0.854,1.098
1602949925492,2020-10-17T11:52:05.492,0.080,1.829,-0.793,0.915
1602949925502,2020-10-17T11:52:05.502,0.090,1.890,-0.793,0.732
1602949925512,2020-10-17T11:52:05.512,0.100,1.829,-0.732,0.488
1602949925522,2020-10-17T11:52:05.522,0.110,1.951,-0.671,0.427
1602949925532,2020-10-17T11:52:05.532,0.120,2.012,-0.732,0.488
1602949925542,2020-10-17T11:52:05.542,0.130,2.134,-0.793,0.427
1602949925552,2020-10-17T11:52:05.552,0.140,2.317,-0.732,0.610
1602949925562,2020-10-17T11:52:05.562,0.150,2.439,-0.671,0.732
1602949925572,2020-10-17T11:52:05.572,0.160,2.561,-0.671,0.976
1602949925582,2020-10-17T11:52:05.582,0.170,2.500,-0.671,0.976
1602949925592,2020-10-17T11:52:05.592,0.180,2.378,-0.671,0.976
1602949925602,2020-10-17T11:52:05.602,0.190,2.561,-0.671,1.159
1602949925612,2020-10-17T11:52:05.612,0.200,2.805,-0.610,1.341
1602949925622,2020-10-17T11:52:05.622,0.210,2.744,-0.488,1.463
1602949925632,2020-10-17T11:52:05.632,0.220,2.500,-0.427,1.646
1602949925642,2020-10-17T11:52:05.642,0.230,2.256,-0.427,1.768
1602949925652,2020-10-17T11:52:05.652,0.240,1.768,-0.427,2.073
1602949925662,2020-10-17T11:52:05.662,0.250,1.646,-0.488,2.805
1602949925672,2020-10-17T11:52:05.672,0.260,1.585,-0.427,3.049
1602949925682,2020-10-17T11:52:05.682,0.270,1.402,-0.427,2.622
1602949925692,2020-10-17T11:52:05.692,0.280,1.585,-0.427,2.500
1602949925702,2020-10-17T11:52:05.702,0.290,2.012,-0.610,2.561
1602949925712,2020-10-17T11:52:05.712,0.300,2.317,-0.610,2.561
1602949925722,2020-10-17T11:52:05.722,0.310,2.561,-0.549,2.317
1602949925732,2020-10-17T11:52:05.732,0.320,2.561,-0.732,2.378
1602949925742,2020-10-17T11:52:05.742,0.330,2.561,-0.915,2.683
