epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1627857372422,2021-08-01T18:36:12.422,0.000,-0.000078375,0.000035000,0.000023938
1627857372472,2021-08-01T18:36:12.472,0.050,-0.000077625,0.000050313,0.000023125
1627857372522,2021-08-01T18:36:12.522,0.100,-0.000078000,0.000048500,0.000024312
1627857372572,2021-08-01T18:36:12.572,0.150,-0.000078000,0.000049562,0.000023500
1627857372622,2021-08-01T18:36:12.622,0.200,-0.000077625,0.000043375,0.000023125
1627857372672,2021-08-01T18:36:12.672,0.250,-0.000078000,0.000048500,0.000023125
1627857372722,2021-08-01T18:36:12.722,0.300,-0.000080187,0.000046687,0.000023938
1627857372772,2021-08-01T18:36:12.772,0.350,-0.000081313,0.000049250,0.000023938
1627857372822,2021-08-01T18:36:12.822,0.400,-0.000081313,0.000046687,0.000021250
1627857372872,2021-08-01T18:36:12.872,0.450,-0.000081313,0.000035000,0.000024312
1627857372922,2021-08-01T18:36:12.922,0.500,-0.000080563,0.000047062,0.000022375
1627857372972,2021-08-01T18:36:12.972,0.550,-0.000081313,0.000049250,0.000021625
1627857373022,2021-08-01T18:36:13.022,0.600,-0.000081625,0.000049250,0.000023188
1627857373072,2021-08-01T18:36:13.072,0.650,-0.000082375,0.000049250,0.000021250
1627857373122,2021-08-01T18:36:13.122,0.700,-0.000083500,0.000049562,0.000022750
1627857373172,2021-08-01T18:36:13.172,0.750,-0.000082750,0.000049250,0.000023188
1627857373222,2021-08-01T18:36:13.222,0.800,-0.000082375,0.000048875,0.000022000
1627857373272,2021-08-01T18:36:13.272,0.850,-0.000081313,0.000049937,0.000021625
1627857373322,2021-08-01T18:36:13.322,0.900,-0.000081688,0.000048125,0.000020437
1627857373372,2021-08-01T18:36:13.372,0.950,-0.000082750,0.000048875,0.000021250
1627857373422,2021-08-01T18:36:13.422,1.000,-0.000081313,0.000049937,0.000019688
1627857373472,2021-08-01T18:36:13.472,1.050,-0.000082375,0.000048875,0.000022000
1627857373522,2021-08-01T18:36:13.522,1.100,-0.000083125,0.000049250,0.000017375
1627857373572,2021-08-01T18:36:13.572,1.150,-0.000081688,0.000037562,0.000021625
1627857373622,2021-08-01T18:36:13.622,1.200,-0.000081313,0.000049250,0.000022000
1627857373672,2021-08-01T18:36:13.672,1.250,-0.000080937,0.000048875,0.000020062
1627857373722,2021-08-01T18:36:13.722,1.300,-0.000082000,0.000048500,0.000022000
1627857373772,2021-08-01T18:36:13.772,1.350,-0.000080187,0.000048500,0.000020875
1627857373822,2021-08-01T18:36:13.822,1.400,-0.000083500,0.000049562,0.000021250
1627857373872,2021-08-01T18:36:13.872,1.450,-0.000082375,0.000048500,0.000021625
1627857373922,2021-08-01T18:36:13.922,1.500,-0.000081313,0.000038313,0.000022375
1627857373972,2021-08-01T18:36:13.972,1.550,-0.000082000,0.000048125,0.000022000
1627857374022,2021-08-01T18:36:14.022,1.600,-0.000080563,0.000048125,0.000022000
1627857374072,2021-08-01T18:36:14.072,1.650,-0.000082750,0.000048125,0.000022000
1627857374122,2021-08-01T18:36:14.122,1.700,-0.000082375,0.000050688,0.000020437
1627857374172,2021-08-01T18:36:14.172,1.750,-0.000082375,0.000043750,0.000022375
1627857374222,2021-08-01T18:36:14.222,1.800,-0.000081313,0.000049250,0.000021250
1627857374272,2021-08-01T18:36:14.272,1.850,-0.000080937,0.000046687,0.000021625
1627857374322,2021-08-01T18:36:14.322,1.900,-0.000083500,0.000049937,0.000022375
1627857374372,2021-08-01T18:36:14.372,1.950,-0.000080563,0.000048875,0.000021625
1627857374422,2021-08-01T18:36:14.422,2.000,-0.000080187,0.000049937,0.000022375
1627857374472,2021-08-01T18:36:14.472,2.050,-0.000083125,0.000048875,0.000021625
1627857374522,2021-08-01T18:36:14.522,2.100,-0.000080563,0.000049250,0.000022375
