epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1604762461663,2020-11-07T10:21:01.663,0.000,99379.641
1604762461799,2020-11-07T10:21:01.799,0.136,99379.641
1604762461935,2020-11-07T10:21:01.935,0.272,99377.891
1604762462070,2020-11-07T10:21:02.070,0.407,99381.344
1604762462206,2020-11-07T10:21:02.206,0.543,99377.891
1604762462341,2020-11-07T10:21:02.341,0.678,99376.586
1604762462477,2020-11-07T10:21:02.477,0.814,99377.891
1604762462614,2020-11-07T10:21:02.614,0.951,99376.469
1604762462750,2020-11-07T10:21:02.750,1.087,99376.938
1604762462885,2020-11-07T10:21:02.885,1.222,99376.469
1604762463021,2020-11-07T10:21:03.021,1.358,99378.727
1604762463156,2020-11-07T10:21:03.156,1.493,99375.156
1604762463292,2020-11-07T10:21:03.292,1.629,99378.250
1604762463428,2020-11-07T10:21:03.428,1.765,99374.797
1604762463563,2020-11-07T10:21:03.563,1.900,99379.078
1604762463699,2020-11-07T10:21:03.699,2.036,99379.469
1604762463835,2020-11-07T10:21:03.835,2.172,99379.953
1604762463970,2020-11-07T10:21:03.970,2.307,99381.258
1604762464106,2020-11-07T10:21:04.106,2.443,99381.703
1604762464243,2020-11-07T10:21:04.243,2.580,99379.000
1604762464377,2020-11-07T10:21:04.377,2.714,99377.328
1604762464514,2020-11-07T10:21:04.514,2.851,99378.156
1604762464648,2020-11-07T10:21:04.648,2.985,99375.547
1604762464785,2020-11-07T10:21:04.785,3.122,99373.406
1604762464921,2020-11-07T10:21:04.921,3.258,99378.641
1604762465056,2020-11-07T10:21:05.056,3.393,99378.555
1604762465192,2020-11-07T10:21:05.192,3.529,99379.469
1604762465328,2020-11-07T10:21:05.328,3.665,99380.305
1604762465463,2020-11-07T10:21:05.463,3.800,99378.156
1604762465599,2020-11-07T10:21:05.599,3.936,99377.688
1604762465734,2020-11-07T10:21:05.734,4.071,99380.781
1604762465870,2020-11-07T10:21:05.870,4.207,99370.789
1604762466006,2020-11-07T10:21:06.006,4.343,99380.781
1604762466141,2020-11-07T10:21:06.141,4.478,99379.953
1604762466277,2020-11-07T10:21:06.277,4.614,99372.539
1604762466413,2020-11-07T10:21:06.413,4.750,99373.844
1604762466548,2020-11-07T10:21:06.548,4.885,99377.328
1604762466684,2020-11-07T10:21:06.684,5.021,99377.328
1604762466819,2020-11-07T10:21:06.819,5.156,99379.078
1604762466955,2020-11-07T10:21:06.955,5.292,99379.078
1604762467092,2020-11-07T10:21:07.092,5.429,99375.156
1604762467226,2020-11-07T10:21:07.226,5.563,99374.328
1604762467363,2020-11-07T10:21:07.363,5.700,99376.016
1604762467499,2020-11-07T10:21:07.499,5.836,99377.242
1604762467634,2020-11-07T10:21:07.634,5.971,99378.078
1604762467770,2020-11-07T10:21:07.770,6.107,99379.000
1604762467905,2020-11-07T10:21:07.905,6.242,99375.070
1604762468041,2020-11-07T10:21:08.041,6.378,99381.172
1604762468177,2020-11-07T10:21:08.177,6.514,99381.531
1604762468312,2020-11-07T10:21:08.312,6.649,99380.219
1604762468448,2020-11-07T10:21:08.448,6.785,99379.297
1604762468584,2020-11-07T10:21:08.584,6.921,99378.438
1604762468719,2020-11-07T10:21:08.719,7.056,99379.297
1604762468855,2020-11-07T10:21:08.855,7.192,99376.688
1604762468992,2020-11-07T10:21:08.992,7.329,99378.344
1604762469126,2020-11-07T10:21:09.126,7.463,99382.750
1604762469263,2020-11-07T10:21:09.263,7.600,99379.297
1604762469397,2020-11-07T10:21:09.397,7.734,99380.133
1604762469534,2020-11-07T10:21:09.534,7.871,99374.063
1604762469670,2020-11-07T10:21:09.670,8.007,99370.141
1604762469805,2020-11-07T10:21:09.805,8.142,99374.422
1604762469941,2020-11-07T10:21:09.941,8.278,99377.039
1604762470077,2020-11-07T10:21:10.077,8.414,99378.344
1604762470212,2020-11-07T10:21:10.212,8.549,99378.344
1604762470348,2020-11-07T10:21:10.348,8.685,99381.359
1604762470484,2020-11-07T10:21:10.484,8.821,99377.906
1604762470619,2020-11-07T10:21:10.619,8.956,99377.039
1604762470755,2020-11-07T10:21:10.755,9.092,99380.875
1604762470890,2020-11-07T10:21:10.890,9.227,99378.734
1604762471026,2020-11-07T10:21:11.026,9.363,99372.672
1604762471162,2020-11-07T10:21:11.162,9.499,99378.734
1604762471297,2020-11-07T10:21:11.297,9.634,99378.734
1604762471433,2020-11-07T10:21:11.433,9.770,99383.969
1604762471570,2020-11-07T10:21:11.570,9.907,99375.727
1604762471704,2020-11-07T10:21:11.704,10.041,99380.047
1604762471841,2020-11-07T10:21:11.841,10.178,99382.656
1604762471977,2020-11-07T10:21:11.977,10.314,99378.648
1604762472112,2020-11-07T10:21:12.112,10.449,99373.977
1604762472248,2020-11-07T10:21:12.248,10.585,99373.500
1604762472384,2020-11-07T10:21:12.384,10.721,99376.859
1604762472519,2020-11-07T10:21:12.519,10.856,99375.641
1604762472655,2020-11-07T10:21:12.655,10.992,99376.469
1604762472791,2020-11-07T10:21:12.791,11.128,99384.719
1604762472926,2020-11-07T10:21:12.926,11.263,99379.875
1604762473062,2020-11-07T10:21:13.062,11.399,99378.563
1604762473197,2020-11-07T10:21:13.197,11.534,99386.773
1604762473333,2020-11-07T10:21:13.333,11.670,99374.516
1604762473470,2020-11-07T10:21:13.470,11.807,99378.000
1604762473604,2020-11-07T10:21:13.604,11.941,99373.688
1604762473741,2020-11-07T10:21:13.741,12.078,99377.047
1604762473877,2020-11-07T10:21:13.877,12.214,99374.070
1604762474012,2020-11-07T10:21:14.012,12.349,99378.359
1604762474148,2020-11-07T10:21:14.148,12.485,99378.742
1604762474283,2020-11-07T10:21:14.283,12.620,99377.438
1604762474419,2020-11-07T10:21:14.419,12.756,99379.133
1604762474555,2020-11-07T10:21:14.555,12.892,99380.438
1604762474690,2020-11-07T10:21:14.690,13.027,99382.586
1604762474826,2020-11-07T10:21:14.826,13.163,99372.586
1604762474962,2020-11-07T10:21:14.962,13.299,99378.266
1604762475097,2020-11-07T10:21:15.097,13.434,99380.438
1604762475233,2020-11-07T10:21:15.233,13.570,99376.516
1604762475369,2020-11-07T10:21:15.369,13.706,99380.438
1604762475504,2020-11-07T10:21:15.504,13.841,99380.438
1604762475640,2020-11-07T10:21:15.640,13.977,99380.883
1604762475775,2020-11-07T10:21:15.775,14.112,99381.750
1604762475911,2020-11-07T10:21:15.911,14.248,99378.266
1604762476048,2020-11-07T10:21:16.048,14.385,99380.883
1604762476182,2020-11-07T10:21:16.182,14.519,99376.953
1604762476319,2020-11-07T10:21:16.319,14.656,99379.578
1604762476455,2020-11-07T10:21:16.455,14.792,99381.359
1604762476590,2020-11-07T10:21:16.590,14.927,99377.438
1604762476726,2020-11-07T10:21:16.726,15.063,99376.125
1604762476862,2020-11-07T10:21:16.862,15.199,99381.844
1604762476997,2020-11-07T10:21:16.997,15.334,99374.813
1604762477133,2020-11-07T10:21:17.133,15.470,99382.188
1604762477268,2020-11-07T10:21:17.268,15.605,99376.039
1604762477404,2020-11-07T10:21:17.404,15.741,99379.133
1604762477540,2020-11-07T10:21:17.540,15.877,99375.203
1604762477675,2020-11-07T10:21:17.675,16.012,99374.727
1604762477811,2020-11-07T10:21:17.811,16.148,99379.484
1604762477948,2020-11-07T10:21:17.948,16.285,99374.727
1604762478082,2020-11-07T10:21:18.082,16.419,99376.039
1604762478219,2020-11-07T10:21:18.219,16.556,99376.867
1604762478353,2020-11-07T10:21:18.353,16.690,99377.703
1604762478490,2020-11-07T10:21:18.490,16.827,99377.297
1604762478626,2020-11-07T10:21:18.626,16.963,99375.031
1604762478761,2020-11-07T10:21:18.761,17.098,99376.344
1604762478897,2020-11-07T10:21:18.897,17.234,99376.344
1604762479033,2020-11-07T10:21:19.033,17.370,99373.719
1604762479168,2020-11-07T10:21:19.168,17.505,99377.203
1604762479304,2020-11-07T10:21:19.304,17.641,99372.891
1604762479440,2020-11-07T10:21:19.440,17.777,99377.203
1604762479575,2020-11-07T10:21:19.575,17.912,99379.344
1604762479711,2020-11-07T10:21:19.711,18.048,99381.133
1604762479846,2020-11-07T10:21:19.846,18.183,99378.953
1604762479982,2020-11-07T10:21:19.982,18.319,99378.125
1604762480119,2020-11-07T10:21:20.119,18.456,99372.891
1604762480255,2020-11-07T10:21:20.255,18.592,99373.281
1604762480390,2020-11-07T10:21:20.390,18.727,99372.406
1604762480526,2020-11-07T10:21:20.526,18.863,99376.727
1604762480660,2020-11-07T10:21:20.660,18.997,99375.031
1604762480797,2020-11-07T10:21:20.797,19.134,99376.727
1604762480933,2020-11-07T10:21:20.933,19.270,99375.422
1604762481069,2020-11-07T10:21:21.069,19.406,99370.656
1604762481204,2020-11-07T10:21:21.204,19.541,99377.563
1604762481340,2020-11-07T10:21:21.340,19.677,99380.656
1604762481475,2020-11-07T10:21:21.475,19.812,99381.016
1604762481611,2020-11-07T10:21:21.611,19.948,99374.938
1604762481747,2020-11-07T10:21:21.747,20.084,99378.031
1604762481882,2020-11-07T10:21:21.882,20.219,99378.031
1604762482018,2020-11-07T10:21:22.018,20.355,99376.344
1604762482153,2020-11-07T10:21:22.153,20.490,99381.969
1604762482289,2020-11-07T10:21:22.289,20.626,99376.727
1604762482426,2020-11-07T10:21:22.426,20.763,99378.031
1604762482560,2020-11-07T10:21:22.560,20.897,99380.656
1604762482697,2020-11-07T10:21:22.697,21.034,99375.031
1604762482833,2020-11-07T10:21:22.833,21.170,99374.586
1604762482968,2020-11-07T10:21:22.968,21.305,99375.031
1604762483104,2020-11-07T10:21:23.104,21.441,99375.422
1604762483239,2020-11-07T10:21:23.239,21.576,99375.891
1604762483375,2020-11-07T10:21:23.375,21.712,99383.273
1604762483511,2020-11-07T10:21:23.511,21.848,99381.133
1604762483646,2020-11-07T10:21:23.646,21.983,99378.516
1604762483782,2020-11-07T10:21:23.782,22.119,99375.891
1604762483918,2020-11-07T10:21:23.918,22.255,99377.641
1604762484053,2020-11-07T10:21:24.053,22.390,99375.500
1604762484189,2020-11-07T10:21:24.189,22.526,99377.203
1604762484324,2020-11-07T10:21:24.324,22.661,99368.953
1604762484460,2020-11-07T10:21:24.460,22.797,99378.125
1604762484597,2020-11-07T10:21:24.597,22.934,99376.813
1604762484731,2020-11-07T10:21:24.731,23.068,99379.906
