epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1604762987797,2020-11-07T10:29:47.797,0.000,99379.875
1604762987932,2020-11-07T10:29:47.932,0.135,99379.000
1604762988068,2020-11-07T10:29:48.068,0.271,99378.086
1604762988205,2020-11-07T10:29:48.205,0.408,99374.156
1604762988339,2020-11-07T10:29:48.339,0.542,99374.633
1604762988476,2020-11-07T10:29:48.476,0.679,99378.086
1604762988612,2020-11-07T10:29:48.612,0.815,99375.469
1604762988747,2020-11-07T10:29:48.747,0.950,99375.469
1604762988883,2020-11-07T10:29:48.883,1.086,99374.156
1604762989018,2020-11-07T10:29:49.018,1.221,99374.984
1604762989154,2020-11-07T10:29:49.154,1.357,99372.375
1604762989290,2020-11-07T10:29:49.290,1.493,99377.609
1604762989425,2020-11-07T10:29:49.425,1.628,99376.688
1604762989561,2020-11-07T10:29:49.561,1.764,99379.750
1604762989697,2020-11-07T10:29:49.697,1.900,99376.688
1604762989832,2020-11-07T10:29:49.832,2.035,99378.438
1604762989968,2020-11-07T10:29:49.968,2.171,99376.688
1604762990105,2020-11-07T10:29:50.105,2.308,99375.375
1604762990239,2020-11-07T10:29:50.239,2.442,99379.313
1604762990376,2020-11-07T10:29:50.376,2.579,99373.203
1604762990510,2020-11-07T10:29:50.510,2.713,99375.828
1604762990647,2020-11-07T10:29:50.647,2.850,99374.070
1604762990783,2020-11-07T10:29:50.783,2.986,99367.141
1604762990918,2020-11-07T10:29:50.918,3.121,99377.125
1604762991054,2020-11-07T10:29:51.054,3.257,99370.586
1604762991190,2020-11-07T10:29:51.190,3.393,99369.281
1604762991325,2020-11-07T10:29:51.325,3.528,99378.914
1604762991461,2020-11-07T10:29:51.461,3.664,99370.141
1604762991596,2020-11-07T10:29:51.596,3.799,99373.594
1604762991732,2020-11-07T10:29:51.732,3.935,99371.453
1604762991868,2020-11-07T10:29:51.868,4.071,99373.688
1604762992003,2020-11-07T10:29:52.003,4.206,99374.070
1604762992139,2020-11-07T10:29:52.139,4.342,99375.375
1604762992275,2020-11-07T10:29:52.275,4.478,99370.141
1604762992410,2020-11-07T10:29:52.410,4.613,99373.203
1604762992546,2020-11-07T10:29:52.546,4.749,99374.070
1604762992683,2020-11-07T10:29:52.683,4.886,99375.375
1604762992817,2020-11-07T10:29:52.817,5.020,99377.516
1604762992954,2020-11-07T10:29:52.954,5.157,99379.313
1604762993090,2020-11-07T10:29:53.090,5.293,99374.906
1604762993225,2020-11-07T10:29:53.225,5.428,99374.906
1604762993361,2020-11-07T10:29:53.361,5.564,99374.422
1604762993496,2020-11-07T10:29:53.496,5.699,99379.656
1604762993632,2020-11-07T10:29:53.632,5.835,99375.297
1604762993768,2020-11-07T10:29:53.768,5.971,99377.438
1604762993903,2020-11-07T10:29:53.903,6.106,99378.266
1604762994039,2020-11-07T10:29:54.039,6.242,99374.344
1604762994175,2020-11-07T10:29:54.175,6.378,99377.438
1604762994310,2020-11-07T10:29:54.310,6.513,99379.578
1604762994446,2020-11-07T10:29:54.446,6.649,99375.641
1604762994583,2020-11-07T10:29:54.583,6.786,99373.031
1604762994717,2020-11-07T10:29:54.717,6.920,99380.047
1604762994854,2020-11-07T10:29:54.854,7.057,99373.422
1604762994988,2020-11-07T10:29:54.988,7.191,99375.203
1604762995125,2020-11-07T10:29:55.125,7.328,99375.641
1604762995261,2020-11-07T10:29:55.261,7.464,99375.641
1604762995396,2020-11-07T10:29:55.396,7.599,99377.828
1604762995532,2020-11-07T10:29:55.532,7.735,99371.281
1604762995668,2020-11-07T10:29:55.668,7.871,99375.641
1604762995803,2020-11-07T10:29:55.803,8.006,99374.727
1604762995939,2020-11-07T10:29:55.939,8.142,99370.328
1604762996074,2020-11-07T10:29:56.074,8.277,99374.250
1604762996210,2020-11-07T10:29:56.210,8.413,99376.039
1604762996346,2020-11-07T10:29:56.346,8.549,99374.672
1604762996481,2020-11-07T10:29:56.481,8.684,99371.633
1604762996617,2020-11-07T10:29:56.617,8.820,99371.633
1604762996753,2020-11-07T10:29:56.753,8.956,99379.906
1604762996888,2020-11-07T10:29:56.888,9.091,99378.602
1604762997024,2020-11-07T10:29:57.024,9.227,99379.438
1604762997161,2020-11-07T10:29:57.161,9.364,99379.906
1604762997295,2020-11-07T10:29:57.295,9.498,99374.672
1604762997432,2020-11-07T10:29:57.432,9.635,99377.203
1604762997566,2020-11-07T10:29:57.566,9.769,99380.656
1604762997703,2020-11-07T10:29:57.703,9.906,99379.344
1604762997839,2020-11-07T10:29:57.839,10.042,99373.719
1604762997974,2020-11-07T10:29:57.974,10.177,99372.328
1604762998110,2020-11-07T10:29:58.110,10.313,99375.422
1604762998246,2020-11-07T10:29:58.246,10.449,99376.250
1604762998381,2020-11-07T10:29:58.381,10.584,99376.250
1604762998517,2020-11-07T10:29:58.517,10.720,99375.422
1604762998652,2020-11-07T10:29:58.652,10.855,99379.258
1604762998788,2020-11-07T10:29:58.788,10.991,99378.781
1604762998924,2020-11-07T10:29:58.924,11.127,99372.711
1604762999059,2020-11-07T10:29:59.059,11.262,99376.641
1604762999195,2020-11-07T10:29:59.195,11.398,99374.023
1604762999332,2020-11-07T10:29:59.332,11.535,99379.258
1604762999466,2020-11-07T10:29:59.466,11.669,99374.852
1604762999603,2020-11-07T10:29:59.603,11.806,99376.164
1604762999737,2020-11-07T10:29:59.737,11.940,99371.406
1604762999874,2020-11-07T10:29:59.874,12.077,99371.844
1604763000010,2020-11-07T10:30:00.010,12.213,99370.094
1604763000145,2020-11-07T10:30:00.145,12.348,99381.398
1604763000281,2020-11-07T10:30:00.281,12.484,99374.023
1604763000417,2020-11-07T10:30:00.417,12.620,99379.258
1604763000552,2020-11-07T10:30:00.552,12.755,99374.469
1604763000688,2020-11-07T10:30:00.688,12.891,99366.609
1604763000823,2020-11-07T10:30:00.823,13.026,99373.547
1604763000959,2020-11-07T10:30:00.959,13.162,99373.156
1604763001095,2020-11-07T10:30:01.095,13.298,99371.313
1604763001231,2020-11-07T10:30:01.231,13.434,99373.063
1604763001366,2020-11-07T10:30:01.366,13.569,99373.063
1604763001502,2020-11-07T10:30:01.502,13.705,99372.625
1604763001639,2020-11-07T10:30:01.639,13.842,99377.000
1604763001773,2020-11-07T10:30:01.773,13.976,99370.008
1604763001910,2020-11-07T10:30:01.910,14.113,99379.172
1604763002044,2020-11-07T10:30:02.044,14.247,99368.313
1604763002181,2020-11-07T10:30:02.181,14.384,99372.234
1604763002317,2020-11-07T10:30:02.317,14.520,99372.711
1604763002452,2020-11-07T10:30:02.452,14.655,99369.617
1604763002588,2020-11-07T10:30:02.588,14.791,99372.711
1604763002724,2020-11-07T10:30:02.724,14.927,99370.922
1604763002859,2020-11-07T10:30:02.859,15.062,99373.063
1604763002995,2020-11-07T10:30:02.995,15.198,99368.313
1604763003131,2020-11-07T10:30:03.131,15.334,99374.852
1604763003266,2020-11-07T10:30:03.266,15.469,99373.938
1604763003402,2020-11-07T10:30:03.402,15.605,99372.625
1604763003537,2020-11-07T10:30:03.537,15.740,99380.000
1604763003673,2020-11-07T10:30:03.673,15.876,99377.000
1604763003810,2020-11-07T10:30:03.810,16.013,99373.938
1604763003944,2020-11-07T10:30:03.944,16.147,99371.313
1604763004081,2020-11-07T10:30:04.081,16.284,99376.906
1604763004217,2020-11-07T10:30:04.217,16.420,99377.383
1604763004352,2020-11-07T10:30:04.352,16.555,99376.555
1604763004488,2020-11-07T10:30:04.488,16.691,99373.938
1604763004623,2020-11-07T10:30:04.623,16.826,99374.375
1604763004759,2020-11-07T10:30:04.759,16.962,99376.555
1604763004895,2020-11-07T10:30:04.895,17.098,99376.555
1604763005030,2020-11-07T10:30:05.030,17.233,99378.695
1604763005166,2020-11-07T10:30:05.166,17.369,99374.375
1604763005302,2020-11-07T10:30:05.302,17.505,99372.977
1604763005437,2020-11-07T10:30:05.437,17.640,99378.219
1604763005573,2020-11-07T10:30:05.573,17.776,99380.359
1604763005709,2020-11-07T10:30:05.709,17.912,99371.672
1604763005844,2020-11-07T10:30:05.844,18.047,99373.367
1604763005980,2020-11-07T10:30:05.980,18.183,99374.766
1604763006115,2020-11-07T10:30:06.115,18.318,99370.359
1604763006251,2020-11-07T10:30:06.251,18.454,99376.078
1604763006388,2020-11-07T10:30:06.388,18.591,99374.289
1604763006522,2020-11-07T10:30:06.522,18.725,99376.438
1604763006659,2020-11-07T10:30:06.659,18.862,99370.359
1604763006795,2020-11-07T10:30:06.795,18.998,99374.766
1604763006930,2020-11-07T10:30:06.930,19.133,99374.766
1604763007066,2020-11-07T10:30:07.066,19.269,99373.453
1604763007201,2020-11-07T10:30:07.201,19.404,99376.555
1604763007337,2020-11-07T10:30:07.337,19.540,99377.383
1604763007473,2020-11-07T10:30:07.473,19.676,99379.172
1604763007608,2020-11-07T10:30:07.608,19.811,99380.000
1604763007744,2020-11-07T10:30:07.744,19.947,99371.313
1604763007880,2020-11-07T10:30:07.880,20.083,99371.313
1604763008015,2020-11-07T10:30:08.015,20.218,99373.547
1604763008151,2020-11-07T10:30:08.151,20.354,99373.453
1604763008288,2020-11-07T10:30:08.288,20.491,99378.781
1604763008422,2020-11-07T10:30:08.422,20.625,99374.852
1604763008559,2020-11-07T10:30:08.559,20.762,99369.227
1604763008693,2020-11-07T10:30:08.693,20.896,99371.406
1604763008830,2020-11-07T10:30:08.830,21.033,99374.938
1604763008966,2020-11-07T10:30:08.966,21.169,99374.109
1604763009101,2020-11-07T10:30:09.101,21.304,99370.656
1604763009237,2020-11-07T10:30:09.237,21.440,99370.656
1604763009373,2020-11-07T10:30:09.373,21.576,99376.727
1604763009508,2020-11-07T10:30:09.508,21.711,99373.719
1604763009644,2020-11-07T10:30:09.644,21.847,99373.719
1604763009780,2020-11-07T10:30:09.780,21.983,99373.719
1604763009915,2020-11-07T10:30:09.915,22.118,99375.500
1604763010051,2020-11-07T10:30:10.051,22.254,99378.602
1604763010186,2020-11-07T10:30:10.186,22.389,99373.781
1604763010322,2020-11-07T10:30:10.322,22.525,99373.781
1604763010459,2020-11-07T10:30:10.459,22.662,99372.195
1604763010593,2020-11-07T10:30:10.593,22.796,99377.828
1604763010730,2020-11-07T10:30:10.730,22.933,99374.813
1604763010866,2020-11-07T10:30:10.866,23.069,99378.266
1604763011001,2020-11-07T10:30:11.001,23.204,99371.281
1604763011137,2020-11-07T10:30:11.137,23.340,99374.344
1604763011273,2020-11-07T10:30:11.273,23.476,99375.203
1604763011408,2020-11-07T10:30:11.408,23.611,99374.727
1604763011544,2020-11-07T10:30:11.544,23.747,99373.898
1604763011680,2020-11-07T10:30:11.680,23.883,99373.898
1604763011815,2020-11-07T10:30:11.815,24.018,99382.109
1604763011951,2020-11-07T10:30:11.951,24.154,99372.586
1604763012087,2020-11-07T10:30:12.087,24.290,99379.969
1604763012222,2020-11-07T10:30:12.222,24.425,99373.031
1604763012358,2020-11-07T10:30:12.358,24.561,99371.281
1604763012493,2020-11-07T10:30:12.493,24.696,99374.250
1604763012629,2020-11-07T10:30:12.629,24.832,99377.344
1604763012766,2020-11-07T10:30:12.766,24.969,99374.727
1604763012900,2020-11-07T10:30:12.900,25.103,99368.180
1604763013037,2020-11-07T10:30:13.037,25.240,99373.781
1604763013171,2020-11-07T10:30:13.171,25.374,99375.984
1604763013308,2020-11-07T10:30:13.308,25.511,99368.539
1604763013444,2020-11-07T10:30:13.444,25.647,99372.891
1604763013579,2020-11-07T10:30:13.579,25.782,99375.031
1604763013715,2020-11-07T10:30:13.715,25.918,99369.797
1604763013851,2020-11-07T10:30:13.851,26.054,99373.359
1604763013986,2020-11-07T10:30:13.986,26.189,99377.641
1604763014122,2020-11-07T10:30:14.122,26.325,99375.500
1604763014258,2020-11-07T10:30:14.258,26.461,99375.500
1604763014393,2020-11-07T10:30:14.393,26.596,99371.578
1604763014529,2020-11-07T10:30:14.529,26.732,99375.500
1604763014664,2020-11-07T10:30:14.664,26.867,99376.344
1604763014800,2020-11-07T10:30:14.800,27.003,99376.344
1604763014937,2020-11-07T10:30:14.937,27.140,99377.641
1604763015071,2020-11-07T10:30:15.071,27.274,99378.516
1604763015208,2020-11-07T10:30:15.208,27.411,99368.953
1604763015344,2020-11-07T10:30:15.344,27.547,99375.422
1604763015479,2020-11-07T10:30:15.479,27.682,99371.102
1604763015615,2020-11-07T10:30:15.615,27.818,99376.344
1604763015750,2020-11-07T10:30:15.750,27.953,99375.031
1604763015886,2020-11-07T10:30:15.886,28.089,99375.031
1604763016022,2020-11-07T10:30:16.022,28.225,99371.969
1604763016157,2020-11-07T10:30:16.157,28.360,99372.406
1604763016293,2020-11-07T10:30:16.293,28.496,99373.719
1604763016429,2020-11-07T10:30:16.429,28.632,99375.891
1604763016564,2020-11-07T10:30:16.564,28.767,99371.102
1604763016700,2020-11-07T10:30:16.700,28.903,99372.891
1604763016835,2020-11-07T10:30:16.835,29.038,99373.719
1604763016971,2020-11-07T10:30:16.971,29.174,99372.406
1604763017107,2020-11-07T10:30:17.107,29.310,99374.195
1604763017242,2020-11-07T10:30:17.242,29.445,99373.719
