epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1603547301845,2020-10-24T09:48:21.845,0.000,19.756,12.561,10.366
1603547301855,2020-10-24T09:48:21.855,0.010,19.146,12.378,10.915
1603547301865,2020-10-24T09:48:21.865,0.020,20.183,13.293,11.463
1603547301875,2020-10-24T09:48:21.875,0.030,20.915,14.024,11.707
1603547301885,2020-10-24T09:48:21.885,0.040,19.939,14.329,10.976
1603547301895,2020-10-24T09:48:21.895,0.050,19.573,14.207,9.573
1603547301905,2020-10-24T09:48:21.905,0.060,18.780,13.780,7.927
1603547301915,2020-10-24T09:48:21.915,0.070,18.598,13.171,6.098
1603547301925,2020-10-24T09:48:21.925,0.080,17.378,12.317,4.268
1603547301935,2020-10-24T09:48:21.935,0.090,15.488,11.220,3.476
1603547301945,2020-10-24T09:48:21.945,0.100,14.146,10.061,3.171
1603547301955,2020-10-24T09:48:21.955,0.110,12.439,9.207,2.622
1603547301965,2020-10-24T09:48:21.965,0.120,8.537,8.171,2.073
1603547301975,2020-10-24T09:48:21.975,0.130,7.073,7.073,1.768
1603547301985,2020-10-24T09:48:21.985,0.140,6.098,6.159,1.768
1603547301995,2020-10-24T09:48:21.995,0.150,8.537,5.915,1.646
1603547302005,2020-10-24T09:48:22.005,0.160,5.549,5.427,1.707
1603547302015,2020-10-24T09:48:22.015,0.170,5.854,4.634,1.585
1603547302025,2020-10-24T09:48:22.025,0.180,3.841,3.720,1.402
1603547302035,2020-10-24T09:48:22.035,0.190,1.951,2.744,1.037
1603547302045,2020-10-24T09:48:22.045,0.200,-1.159,1.220,0.183
1603547302055,2020-10-24T09:48:22.055,0.210,-3.963,-0.610,-0.915
1603547302065,2020-10-24T09:48:22.065,0.220,-6.341,-3.171,-1.646
1603547302075,2020-10-24T09:48:22.075,0.230,-9.634,-7.622,-2.622
1603547302085,2020-10-24T09:48:22.085,0.240,-12.683,-13.354,-2.622
1603547302095,2020-10-24T09:48:22.095,0.250,-14.878,-19.390,-1.707
1603547302105,2020-10-24T09:48:22.105,0.260,-15.549,-25.122,-0.122
1603547302115,2020-10-24T09:48:22.115,0.270,-15.488,-30.366,2.195
1603547302125,2020-10-24T09:48:22.125,0.280,-14.756,-34.512,5.305
1603547302135,2020-10-24T09:48:22.135,0.290,-13.049,-37.378,8.841
1603547302145,2020-10-24T09:48:22.145,0.300,-11.707,-39.146,12.317
1603547302155,2020-10-24T09:48:22.155,0.310,-10.549,-39.817,15.427
1603547302165,2020-10-24T09:48:22.165,0.320,-7.744,-39.817,18.476
1603547302175,2020-10-24T09:48:22.175,0.330,-6.280,-39.329,20.915
1603547302185,2020-10-24T09:48:22.185,0.340,-5.610,-38.476,22.195
1603547302195,2020-10-24T09:48:22.195,0.350,-5.488,-37.500,22.744
1603547302205,2020-10-24T09:48:22.205,0.360,-6.037,-36.220,22.683
1603547302215,2020-10-24T09:48:22.215,0.370,-4.512,-34.695,22.012
1603547302225,2020-10-24T09:48:22.225,0.380,-3.780,-32.744,21.159
