epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1603641283569,2020-10-25T11:54:43.569,0.000,-13.476,-3.232,-2.561
1603641283579,2020-10-25T11:54:43.579,0.010,-13.049,-3.659,-2.866
1603641283589,2020-10-25T11:54:43.589,0.020,-12.561,-3.598,-2.622
1603641283599,2020-10-25T11:54:43.599,0.030,-12.195,-3.476,-2.439
1603641283609,2020-10-25T11:54:43.609,0.040,-11.768,-3.476,-2.622
1603641283619,2020-10-25T11:54:43.619,0.050,-11.037,-3.171,-2.805
1603641283629,2020-10-25T11:54:43.629,0.060,-10.915,-2.500,-3.232
1603641283639,2020-10-25T11:54:43.639,0.070,-10.854,-1.829,-3.720
1603641283649,2020-10-25T11:54:43.649,0.080,-11.159,-1.280,-4.085
1603641283659,2020-10-25T11:54:43.659,0.090,-11.098,-1.159,-4.146
1603641283669,2020-10-25T11:54:43.669,0.100,-10.427,-1.585,-3.963
1603641283679,2020-10-25T11:54:43.679,0.110,-9.756,-2.134,-3.659
1603641283689,2020-10-25T11:54:43.689,0.120,-9.390,-2.256,-3.415
1603641283699,2020-10-25T11:54:43.699,0.130,-9.085,-2.378,-3.110
1603641283709,2020-10-25T11:54:43.709,0.140,-8.598,-2.439,-3.049
1603641283719,2020-10-25T11:54:43.719,0.150,-8.171,-2.744,-2.866
1603641283729,2020-10-25T11:54:43.729,0.160,-7.988,-2.805,-2.683
1603641283739,2020-10-25T11:54:43.739,0.170,-7.744,-2.683,-2.256
1603641283749,2020-10-25T11:54:43.749,0.180,-7.500,-2.744,-1.707
1603641283759,2020-10-25T11:54:43.759,0.190,-7.805,-2.622,-1.220
1603641283769,2020-10-25T11:54:43.769,0.200,-8.293,-2.378,-0.854
1603641283779,2020-10-25T11:54:43.779,0.210,-8.415,-1.951,-0.427
1603641283789,2020-10-25T11:54:43.789,0.220,-8.049,-1.829,-0.244
1603641283799,2020-10-25T11:54:43.799,0.230,-7.683,-1.463,0.122
1603641283809,2020-10-25T11:54:43.809,0.240,-7.012,-1.159,0.732
1603641283819,2020-10-25T11:54:43.819,0.250,-6.707,-0.854,1.159
1603641283829,2020-10-25T11:54:43.829,0.260,-7.317,-0.122,1.220
1603641283839,2020-10-25T11:54:43.839,0.270,-7.866,0.183,1.463
1603641283849,2020-10-25T11:54:43.849,0.280,-8.110,-0.305,2.195
1603641283859,2020-10-25T11:54:43.859,0.290,-8.841,-0.854,2.439
1603641283869,2020-10-25T11:54:43.869,0.300,-9.695,-1.280,2.439
1603641283879,2020-10-25T11:54:43.879,0.310,-10.427,-1.707,2.317
1603641283889,2020-10-25T11:54:43.889,0.320,-10.854,-2.073,2.073
1603641283899,2020-10-25T11:54:43.899,0.330,-10.610,-2.439,1.829
1603641283909,2020-10-25T11:54:43.909,0.340,-9.756,-3.049,1.829
1603641283919,2020-10-25T11:54:43.919,0.350,-9.817,-3.476,1.402
1603641283929,2020-10-25T11:54:43.929,0.360,-10.488,-3.780,0.671
1603641283939,2020-10-25T11:54:43.939,0.370,-10.549,-4.268,0.244
1603641283949,2020-10-25T11:54:43.949,0.380,-10.854,-4.939,-0.244
1603641283959,2020-10-25T11:54:43.959,0.390,-12.073,-5.671,-0.915
1603641283969,2020-10-25T11:54:43.969,0.400,-13.232,-5.915,-1.768
1603641283979,2020-10-25T11:54:43.979,0.410,-14.329,-5.976,-2.744
1603641283989,2020-10-25T11:54:43.989,0.420,-14.451,-6.159,-3.415
1603641283999,2020-10-25T11:54:43.999,0.430,-14.695,-6.159,-3.659
1603641284009,2020-10-25T11:54:44.009,0.440,-15.183,-6.098,-3.476
1603641284019,2020-10-25T11:54:44.019,0.450,-15.427,-6.037,-3.232
1603641284029,2020-10-25T11:54:44.029,0.460,-15.671,-5.793,-3.171
1603641284039,2020-10-25T11:54:44.039,0.470,-15.915,-5.549,-3.110
1603641284049,2020-10-25T11:54:44.049,0.480,-16.402,-5.366,-2.988
1603641284059,2020-10-25T11:54:44.059,0.490,-17.317,-5.122,-2.988
1603641284069,2020-10-25T11:54:44.069,0.500,-18.293,-5.061,-3.537
1603641284079,2020-10-25T11:54:44.079,0.510,-19.817,-4.695,-4.573
1603641284089,2020-10-25T11:54:44.089,0.520,-21.463,-4.512,-5.610
1603641284099,2020-10-25T11:54:44.099,0.530,-22.256,-4.939,-6.646
1603641284109,2020-10-25T11:54:44.109,0.540,-22.683,-5.732,-7.622
1603641284119,2020-10-25T11:54:44.119,0.550,-23.415,-6.646,-8.780
1603641284129,2020-10-25T11:54:44.129,0.560,-24.695,-7.622,-10.366
1603641284139,2020-10-25T11:54:44.139,0.570,-26.220,-8.415,-12.683
1603641284149,2020-10-25T11:54:44.149,0.580,-27.683,-9.207,-15.610
1603641284159,2020-10-25T11:54:44.159,0.590,-28.902,-10.000,-18.476
1603641284169,2020-10-25T11:54:44.169,0.600,-29.939,-10.793,-21.098
1603641284179,2020-10-25T11:54:44.179,0.610,-30.488,-11.402,-23.659
1603641284189,2020-10-25T11:54:44.189,0.620,-30.549,-11.829,-25.915
1603641284199,2020-10-25T11:54:44.199,0.630,-30.305,-12.256,-27.866
1603641284209,2020-10-25T11:54:44.209,0.640,-30.427,-12.195,-29.512
1603641284219,2020-10-25T11:54:44.219,0.650,-30.244,-12.317,-30.427
1603641284229,2020-10-25T11:54:44.229,0.660,-29.878,-12.561,-30.732
1603641284239,2020-10-25T11:54:44.239,0.670,-30.549,-12.927,-30.732
1603641284249,2020-10-25T11:54:44.249,0.680,-31.280,-13.354,-30.366
1603641284259,2020-10-25T11:54:44.259,0.690,-32.927,-13.354,-30.183
1603641284269,2020-10-25T11:54:44.269,0.700,-35.061,-12.988,-30.183
1603641284279,2020-10-25T11:54:44.279,0.710,-37.195,-12.195,-30.183
