epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1603640270757,2020-10-25T11:37:50.757,0.000,-0.122,-2.256,1.159
1603640270767,2020-10-25T11:37:50.767,0.010,-0.427,-1.890,1.585
1603640270777,2020-10-25T11:37:50.777,0.020,-0.793,-2.439,1.768
1603640270787,2020-10-25T11:37:50.787,0.030,-1.585,-3.293,1.768
1603640270797,2020-10-25T11:37:50.797,0.040,-2.256,-3.963,1.707
1603640270807,2020-10-25T11:37:50.807,0.050,-2.805,-4.634,1.402
1603640270817,2020-10-25T11:37:50.817,0.060,-3.171,-5.427,1.098
1603640270827,2020-10-25T11:37:50.827,0.070,-3.598,-5.976,0.610
1603640270837,2020-10-25T11:37:50.837,0.080,-3.780,-6.524,0.000
1603640270847,2020-10-25T11:37:50.847,0.090,-3.537,-7.195,-0.732
1603640270857,2020-10-25T11:37:50.857,0.100,-3.110,-7.500,-1.829
1603640270867,2020-10-25T11:37:50.867,0.110,-2.378,-7.622,-3.598
1603640270877,2020-10-25T11:37:50.877,0.120,-1.341,-7.805,-5.366
1603640270887,2020-10-25T11:37:50.887,0.130,-0.549,-7.561,-7.317
1603640270897,2020-10-25T11:37:50.897,0.140,-0.122,-7.134,-9.024
1603640270907,2020-10-25T11:37:50.907,0.150,0.427,-6.585,-10.366
1603640270917,2020-10-25T11:37:50.917,0.160,0.671,-6.098,-11.098
1603640270927,2020-10-25T11:37:50.927,0.170,0.854,-5.427,-11.463
1603640270937,2020-10-25T11:37:50.937,0.180,0.976,-4.878,-11.463
1603640270947,2020-10-25T11:37:50.947,0.190,0.854,-4.024,-11.341
1603640270957,2020-10-25T11:37:50.957,0.200,0.793,-3.354,-10.976
1603640270967,2020-10-25T11:37:50.967,0.210,1.037,-2.744,-10.488
1603640270977,2020-10-25T11:37:50.977,0.220,1.524,-2.012,-10.061
1603640270987,2020-10-25T11:37:50.987,0.230,1.646,-1.646,-9.390
1603640270997,2020-10-25T11:37:50.997,0.240,1.829,-0.793,-8.780
1603640271007,2020-10-25T11:37:51.007,0.250,2.012,-0.671,-8.232
1603640271017,2020-10-25T11:37:51.017,0.260,2.378,-0.366,-7.866
1603640271027,2020-10-25T11:37:51.027,0.270,2.500,-0.305,-7.317
1603640271037,2020-10-25T11:37:51.037,0.280,2.744,-0.549,-6.646
1603640271047,2020-10-25T11:37:51.047,0.290,2.927,-0.488,-5.976
1603640271057,2020-10-25T11:37:51.057,0.300,2.805,-0.427,-5.305
1603640271067,2020-10-25T11:37:51.067,0.310,2.378,-0.549,-4.390
1603640271077,2020-10-25T11:37:51.077,0.320,2.012,-0.427,-3.720
1603640271087,2020-10-25T11:37:51.087,0.330,1.646,-0.732,-3.171
