epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1603640454420,2020-10-25T11:40:54.420,0.000,98710.094
1603640454556,2020-10-25T11:40:54.556,0.136,98706.172
1603640454691,2020-10-25T11:40:54.691,0.271,98705.344
1603640454827,2020-10-25T11:40:54.827,0.407,98703.211
1603640454963,2020-10-25T11:40:54.963,0.543,98701.422
1603640455098,2020-10-25T11:40:55.098,0.678,98704.523
1603640455234,2020-10-25T11:40:55.234,0.814,98701.906
1603640455370,2020-10-25T11:40:55.370,0.950,98703.563
1603640455505,2020-10-25T11:40:55.505,1.085,98698.328
1603640455641,2020-10-25T11:40:55.641,1.221,98697.984
1603640455777,2020-10-25T11:40:55.777,1.357,98703.211
1603640455912,2020-10-25T11:40:55.912,1.492,98703.211
1603640456048,2020-10-25T11:40:56.048,1.628,98697.984
1603640456185,2020-10-25T11:40:56.185,1.765,98696.672
1603640456319,2020-10-25T11:40:56.319,1.899,98691.922
1603640456456,2020-10-25T11:40:56.456,2.036,98691.547
1603640456592,2020-10-25T11:40:56.592,2.172,98697.602
1603640456727,2020-10-25T11:40:56.727,2.307,98688.453
1603640456863,2020-10-25T11:40:56.863,2.443,98697.156
1603640456999,2020-10-25T11:40:56.999,2.579,98701.906
1603640457134,2020-10-25T11:40:57.134,2.714,98693.672
1603640457270,2020-10-25T11:40:57.270,2.850,98700.219
1603640457406,2020-10-25T11:40:57.406,2.986,98693.328
1603640457541,2020-10-25T11:40:57.541,3.121,98694.984
1603640457677,2020-10-25T11:40:57.677,3.257,98686.313
1603640457812,2020-10-25T11:40:57.812,3.392,98695.086
1603640457948,2020-10-25T11:40:57.948,3.528,98699.875
1603640458085,2020-10-25T11:40:58.085,3.665,98695.469
1603640458219,2020-10-25T11:40:58.219,3.799,98689.859
1603640458356,2020-10-25T11:40:58.356,3.936,98693.328
1603640458492,2020-10-25T11:40:58.492,4.072,98697.250
1603640458627,2020-10-25T11:40:58.627,4.207,98696.875
1603640458763,2020-10-25T11:40:58.763,4.343,98696.875
1603640458899,2020-10-25T11:40:58.899,4.479,98690.813
1603640459034,2020-10-25T11:40:59.034,4.614,98694.258
1603640459170,2020-10-25T11:40:59.170,4.750,98696.391
1603640459305,2020-10-25T11:40:59.305,4.885,98699.492
1603640459441,2020-10-25T11:40:59.441,5.021,98698.563
1603640459577,2020-10-25T11:40:59.577,5.157,98699.008
1603640459712,2020-10-25T11:40:59.712,5.292,98696.875
1603640459848,2020-10-25T11:40:59.848,5.428,98696.531
1603640459984,2020-10-25T11:40:59.984,5.564,98698.180
1603640460119,2020-10-25T11:41:00.119,5.699,98691.641
1603640460255,2020-10-25T11:41:00.255,5.835,98696.875
1603640460390,2020-10-25T11:41:00.390,5.970,98694.258
1603640460526,2020-10-25T11:41:00.526,6.106,98699.141
1603640460663,2020-10-25T11:41:00.663,6.243,98694.258
1603640460797,2020-10-25T11:41:00.797,6.377,98694.734
1603640460934,2020-10-25T11:41:00.934,6.514,98696.875
1603640461070,2020-10-25T11:41:01.070,6.650,98689.984
1603640461206,2020-10-25T11:41:01.206,6.786,98697.359
1603640461341,2020-10-25T11:41:01.341,6.921,98683.453
1603640461477,2020-10-25T11:41:01.477,7.057,98702.578
1603640461612,2020-10-25T11:41:01.612,7.192,98696.531
1603640461748,2020-10-25T11:41:01.748,7.328,98695.563
1603640461883,2020-10-25T11:41:01.883,7.463,98692.609
1603640462019,2020-10-25T11:41:02.019,7.599,98691.641
1603640462155,2020-10-25T11:41:02.155,7.735,98696.047
1603640462290,2020-10-25T11:41:02.290,7.870,98688.688
1603640462426,2020-10-25T11:41:02.426,8.006,98699.969
1603640462563,2020-10-25T11:41:02.563,8.143,98700.898
1603640462697,2020-10-25T11:41:02.697,8.277,98695.219
1603640462834,2020-10-25T11:41:02.834,8.414,98697.828
1603640462970,2020-10-25T11:41:02.970,8.550,98697.828
1603640463106,2020-10-25T11:41:03.106,8.686,98692.953
1603640463241,2020-10-25T11:41:03.241,8.821,98698.656
1603640463377,2020-10-25T11:41:03.377,8.957,98699.492
1603640463512,2020-10-25T11:41:03.512,9.092,98697.828
1603640463648,2020-10-25T11:41:03.648,9.228,98690.438
1603640463784,2020-10-25T11:41:03.784,9.364,98702.102
1603640463919,2020-10-25T11:41:03.919,9.499,98698.180
1603640464055,2020-10-25T11:41:04.055,9.635,98692.125
1603640464192,2020-10-25T11:41:04.192,9.772,98689.859
1603640464326,2020-10-25T11:41:04.326,9.906,98684.750
1603640464463,2020-10-25T11:41:04.463,10.043,98692.953
1603640464597,2020-10-25T11:41:04.597,10.177,98695.219
1603640464734,2020-10-25T11:41:04.734,10.314,98688.203
1603640464870,2020-10-25T11:41:04.870,10.450,98693.906
1603640465005,2020-10-25T11:41:05.005,10.585,98688.203
1603640465141,2020-10-25T11:41:05.141,10.721,98694.258
1603640465277,2020-10-25T11:41:05.277,10.857,98694.258
1603640465412,2020-10-25T11:41:05.412,10.992,98689.031
1603640465548,2020-10-25T11:41:05.548,11.128,98697.359
1603640465684,2020-10-25T11:41:05.684,11.264,98692.953
1603640465819,2020-10-25T11:41:05.819,11.399,98692.469
1603640465955,2020-10-25T11:41:05.955,11.535,98692.953
1603640466090,2020-10-25T11:41:06.090,11.670,98692.953
1603640466226,2020-10-25T11:41:06.226,11.806,98690.719
1603640466362,2020-10-25T11:41:06.362,11.942,98691.156
1603640466497,2020-10-25T11:41:06.497,12.077,98696.875
1603640466633,2020-10-25T11:41:06.633,12.213,98694.258
1603640466770,2020-10-25T11:41:06.770,12.350,98694.258
1603640466904,2020-10-25T11:41:06.904,12.484,98699.586
1603640467041,2020-10-25T11:41:07.041,12.621,98692.609
1603640467175,2020-10-25T11:41:07.175,12.755,98699.141
1603640467312,2020-10-25T11:41:07.312,12.892,98694.844
1603640467448,2020-10-25T11:41:07.448,13.028,98700.063
1603640467583,2020-10-25T11:41:07.583,13.163,98702.203
1603640467719,2020-10-25T11:41:07.719,13.299,98703.063
1603640467855,2020-10-25T11:41:07.855,13.435,98694.844
1603640467990,2020-10-25T11:41:07.990,13.570,98706.125
1603640468126,2020-10-25T11:41:08.126,13.706,98704.820
1603640468262,2020-10-25T11:41:08.262,13.842,98694.844
1603640468397,2020-10-25T11:41:08.397,13.977,98698.281
1603640468533,2020-10-25T11:41:08.533,14.113,98698.766
1603640468668,2020-10-25T11:41:08.668,14.248,98694.844
1603640468804,2020-10-25T11:41:08.804,14.384,98700.063
1603640468941,2020-10-25T11:41:08.941,14.521,98703.516
1603640469075,2020-10-25T11:41:09.075,14.655,98700.063
1603640469212,2020-10-25T11:41:09.212,14.792,98706.500
1603640469348,2020-10-25T11:41:09.348,14.928,98697.906
1603640469483,2020-10-25T11:41:09.483,15.063,98693.906
1603640469619,2020-10-25T11:41:09.619,15.199,98697.453
1603640469755,2020-10-25T11:41:09.755,15.335,98698.766
1603640469890,2020-10-25T11:41:09.890,15.470,98700.516
1603640470026,2020-10-25T11:41:10.026,15.606,98697.453
1603640470162,2020-10-25T11:41:10.162,15.742,98697.828
1603640470298,2020-10-25T11:41:10.298,15.878,98701.375
1603640470433,2020-10-25T11:41:10.433,16.013,98711.359
1603640470569,2020-10-25T11:41:10.569,16.149,98706.984
1603640470704,2020-10-25T11:41:10.704,16.284,98702.203
1603640470840,2020-10-25T11:41:10.840,16.420,98700.898
1603640470975,2020-10-25T11:41:10.975,16.555,98697.828
1603640471111,2020-10-25T11:41:11.111,16.691,98700.898
1603640471248,2020-10-25T11:41:11.248,16.828,98701.758
1603640471384,2020-10-25T11:41:11.384,16.964,98700.063
1603640471519,2020-10-25T11:41:11.519,17.099,98698.766
1603640471655,2020-10-25T11:41:11.655,17.235,98705.680
1603640471790,2020-10-25T11:41:11.790,17.370,98700.898
1603640471926,2020-10-25T11:41:11.926,17.506,98704.375
1603640472062,2020-10-25T11:41:12.062,17.642,98703.063
1603640472197,2020-10-25T11:41:12.197,17.777,98701.758
1603640472333,2020-10-25T11:41:12.333,17.913,98704.820
1603640472469,2020-10-25T11:41:12.469,18.049,98698.281
1603640472604,2020-10-25T11:41:12.604,18.184,98703.133
1603640472740,2020-10-25T11:41:12.740,18.320,98701.375
1603640472877,2020-10-25T11:41:12.877,18.457,98702.688
1603640473011,2020-10-25T11:41:13.011,18.591,98699.656
1603640473148,2020-10-25T11:41:13.148,18.728,98697.039
1603640473282,2020-10-25T11:41:13.282,18.862,98707.055
1603640473419,2020-10-25T11:41:13.419,18.999,98706.609
1603640473555,2020-10-25T11:41:13.555,19.135,98706.609
1603640473690,2020-10-25T11:41:13.690,19.270,98707.438
1603640473826,2020-10-25T11:41:13.826,19.406,98703.133
1603640473962,2020-10-25T11:41:13.962,19.542,98702.688
1603640474097,2020-10-25T11:41:14.097,19.677,98700.961
1603640474233,2020-10-25T11:41:14.233,19.813,98698.828
1603640474368,2020-10-25T11:41:14.368,19.948,98698.344
1603640474504,2020-10-25T11:41:14.504,20.084,98700.516
