epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1627863169591,2021-08-01T20:12:49.591,0.000,98066.766
1627863169726,2021-08-01T20:12:49.726,0.135,98061.375
1627863169862,2021-08-01T20:12:49.862,0.271,98064.063
1627863169998,2021-08-01T20:12:49.998,0.407,98064.813
1627863170133,2021-08-01T20:12:50.133,0.542,98061.375
1627863170269,2021-08-01T20:12:50.269,0.678,98061.375
1627863170406,2021-08-01T20:12:50.406,0.815,98065.414
1627863170540,2021-08-01T20:12:50.540,0.949,98060.016
1627863170677,2021-08-01T20:12:50.677,1.086,98060.016
1627863170811,2021-08-01T20:12:50.811,1.220,98064.250
1627863170948,2021-08-01T20:12:50.948,1.357,98058.492
1627863171084,2021-08-01T20:12:51.084,1.493,98058.672
1627863171219,2021-08-01T20:12:51.219,1.628,98059.844
1627863171355,2021-08-01T20:12:51.355,1.764,98064.813
1627863171491,2021-08-01T20:12:51.491,1.900,98055.227
1627863171626,2021-08-01T20:12:51.626,2.035,98060.766
1627863171762,2021-08-01T20:12:51.762,2.171,98064.813
1627863171898,2021-08-01T20:12:51.898,2.307,98059.273
1627863172035,2021-08-01T20:12:52.035,2.444,98060.203
1627863172169,2021-08-01T20:12:52.169,2.578,98056.156
1627863172306,2021-08-01T20:12:52.306,2.715,98061.375
1627863172440,2021-08-01T20:12:52.440,2.849,98059.844
1627863172577,2021-08-01T20:12:52.577,2.986,98064.813
1627863172711,2021-08-01T20:12:52.711,3.120,98066.164
1627863172848,2021-08-01T20:12:52.848,3.257,98061.375
1627863172984,2021-08-01T20:12:52.984,3.393,98058.672
1627863173120,2021-08-01T20:12:53.120,3.529,98062.719
1627863173255,2021-08-01T20:12:53.255,3.664,98061.969
1627863173391,2021-08-01T20:12:53.391,3.800,98062.719
1627863173526,2021-08-01T20:12:53.526,3.935,98061.188
1627863173662,2021-08-01T20:12:53.662,4.071,98060.016
1627863173798,2021-08-01T20:12:53.798,4.207,98063.469
1627863173933,2021-08-01T20:12:53.933,4.342,98060.625
1627863174069,2021-08-01T20:12:54.069,4.478,98059.422
1627863174205,2021-08-01T20:12:54.205,4.614,98060.016
1627863174340,2021-08-01T20:12:54.340,4.749,98065.414
1627863174476,2021-08-01T20:12:54.476,4.885,98066.164
1627863174613,2021-08-01T20:12:54.613,5.022,98062.719
1627863174747,2021-08-01T20:12:54.747,5.156,98061.188
1627863174884,2021-08-01T20:12:54.884,5.293,98057.328
1627863175020,2021-08-01T20:12:55.020,5.429,98061.375
1627863175155,2021-08-01T20:12:55.155,5.564,98064.813
1627863175291,2021-08-01T20:12:55.291,5.700,98060.016
1627863175426,2021-08-01T20:12:55.426,5.835,98055.227
1627863175562,2021-08-01T20:12:55.562,5.971,98060.016
1627863175698,2021-08-01T20:12:55.698,6.107,98060.766
1627863175834,2021-08-01T20:12:55.834,6.243,98064.813
1627863175969,2021-08-01T20:12:55.969,6.378,98065.234
1627863176105,2021-08-01T20:12:56.105,6.514,98062.891
1627863176240,2021-08-01T20:12:56.240,6.649,98064.063
1627863176376,2021-08-01T20:12:56.376,6.785,98063.469
1627863176513,2021-08-01T20:12:56.513,6.922,98066.164
1627863176647,2021-08-01T20:12:56.647,7.056,98065.414
1627863176784,2021-08-01T20:12:56.784,7.193,98064.063
1627863176920,2021-08-01T20:12:56.920,7.329,98069.453
1627863177055,2021-08-01T20:12:57.055,7.464,98068.109
1627863177191,2021-08-01T20:12:57.191,7.600,98067.188
1627863177326,2021-08-01T20:12:57.326,7.735,98066.766
1627863177462,2021-08-01T20:12:57.462,7.871,98071.555
1627863177598,2021-08-01T20:12:57.598,8.007,98069.453
1627863177733,2021-08-01T20:12:57.733,8.142,98065.234
1627863177869,2021-08-01T20:12:57.869,8.278,98070.203
