epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1604166146582,2020-10-31T13:42:26.582,0.000,99347.430
1604166146719,2020-10-31T13:42:26.719,0.137,99341.391
1604166146853,2020-10-31T13:42:26.853,0.271,99343.063
1604166146990,2020-10-31T13:42:26.990,0.408,99344.359
1604166147126,2020-10-31T13:42:27.126,0.544,99338.789
1604166147261,2020-10-31T13:42:27.261,0.679,99346.125
1604166147397,2020-10-31T13:42:27.397,0.815,99347.891
1604166147533,2020-10-31T13:42:27.533,0.951,99343.992
1604166147668,2020-10-31T13:42:27.668,1.086,99343.156
1604166147804,2020-10-31T13:42:27.804,1.222,99347.430
1604166147939,2020-10-31T13:42:27.939,1.357,99343.992
1604166148075,2020-10-31T13:42:28.075,1.493,99347.891
1604166148211,2020-10-31T13:42:28.211,1.629,99349.195
1604166148346,2020-10-31T13:42:28.346,1.764,99347.891
1604166148482,2020-10-31T13:42:28.482,1.900,99342.688
1604166148619,2020-10-31T13:42:28.619,2.037,99349.563
1604166148753,2020-10-31T13:42:28.753,2.171,99344.828
1604166148890,2020-10-31T13:42:28.890,2.308,99344.359
1604166149026,2020-10-31T13:42:29.026,2.444,99346.969
1604166149161,2020-10-31T13:42:29.161,2.579,99350.875
1604166149297,2020-10-31T13:42:29.297,2.715,99343.523
1604166149432,2020-10-31T13:42:29.432,2.850,99346.969
1604166149568,2020-10-31T13:42:29.568,2.986,99344.766
1604166149704,2020-10-31T13:42:29.704,3.122,99351.672
1604166149839,2020-10-31T13:42:29.839,3.257,99348.203
1604166149975,2020-10-31T13:42:29.975,3.393,99350.375
1604166150111,2020-10-31T13:42:30.111,3.529,99344.297
1604166150246,2020-10-31T13:42:30.246,3.664,99345.531
1604166150382,2020-10-31T13:42:30.382,3.800,99348.609
1604166150517,2020-10-31T13:42:30.517,3.935,99345.164
1604166150653,2020-10-31T13:42:30.653,4.071,99342.938
1604166150790,2020-10-31T13:42:30.790,4.208,99341.625
1604166150924,2020-10-31T13:42:30.924,4.342,99339.859
1604166151061,2020-10-31T13:42:31.061,4.479,99344.234
1604166151197,2020-10-31T13:42:31.197,4.615,99342.938
1604166151332,2020-10-31T13:42:31.332,4.750,99345.063
1604166151468,2020-10-31T13:42:31.468,4.886,99344.633
1604166151604,2020-10-31T13:42:31.604,5.022,99342.031
1604166151739,2020-10-31T13:42:31.739,5.157,99344.633
1604166151875,2020-10-31T13:42:31.875,5.293,99351.516
1604166152010,2020-10-31T13:42:32.010,5.428,99344.570
1604166152146,2020-10-31T13:42:32.146,5.564,99342.797
1604166152282,2020-10-31T13:42:32.282,5.700,99344.938
1604166152417,2020-10-31T13:42:32.417,5.835,99348.844
1604166152553,2020-10-31T13:42:32.553,5.971,99348.313
1604166152689,2020-10-31T13:42:32.689,6.107,99348.375
1604166152824,2020-10-31T13:42:32.824,6.242,99349.250
1604166152960,2020-10-31T13:42:32.960,6.378,99346.641
1604166153097,2020-10-31T13:42:33.097,6.515,99346.641
1604166153231,2020-10-31T13:42:33.231,6.649,99344.031
1604166153368,2020-10-31T13:42:33.368,6.786,99344.469
1604166153502,2020-10-31T13:42:33.502,6.920,99346.234
1604166153639,2020-10-31T13:42:33.639,7.057,99349.672
1604166153775,2020-10-31T13:42:33.775,7.193,99345.344
1604166153910,2020-10-31T13:42:33.910,7.328,99348.375
1604166154046,2020-10-31T13:42:34.046,7.464,99342.797
1604166154182,2020-10-31T13:42:34.182,7.600,99340.133
1604166154317,2020-10-31T13:42:34.317,7.735,99344.469
1604166154453,2020-10-31T13:42:34.453,7.871,99348.375
1604166154589,2020-10-31T13:42:34.589,8.007,99347.070
1604166154724,2020-10-31T13:42:34.724,8.142,99344.875
1604166154860,2020-10-31T13:42:34.860,8.278,99343.500
1604166154995,2020-10-31T13:42:34.995,8.413,99343.969
1604166155131,2020-10-31T13:42:35.131,8.549,99346.578
1604166155268,2020-10-31T13:42:35.268,8.686,99350.016
1604166155402,2020-10-31T13:42:35.402,8.820,99340.906
1604166155539,2020-10-31T13:42:35.539,8.957,99346.938
1604166155675,2020-10-31T13:42:35.675,9.093,99346.938
1604166155810,2020-10-31T13:42:35.810,9.228,99339.539
1604166155946,2020-10-31T13:42:35.946,9.364,99344.742
1604166156081,2020-10-31T13:42:36.081,9.499,99350.781
1604166156217,2020-10-31T13:42:36.217,9.635,99348.578
1604166156353,2020-10-31T13:42:36.353,9.771,99347.719
1604166156488,2020-10-31T13:42:36.488,9.906,99348.578
1604166156624,2020-10-31T13:42:36.624,10.042,99343.805
1604166156760,2020-10-31T13:42:36.760,10.178,99349.883
1604166156895,2020-10-31T13:42:36.895,10.313,99348.578
1604166157031,2020-10-31T13:42:37.031,10.449,99345.109
1604166157166,2020-10-31T13:42:37.166,10.584,99347.281
1604166157302,2020-10-31T13:42:37.302,10.720,99346.813
1604166157438,2020-10-31T13:42:37.438,10.856,99345.109
1604166157573,2020-10-31T13:42:37.573,10.991,99344.273
1604166157709,2020-10-31T13:42:37.709,11.127,99339.070
1604166157846,2020-10-31T13:42:37.846,11.264,99344.672
1604166157980,2020-10-31T13:42:37.980,11.398,99349.016
1604166158117,2020-10-31T13:42:38.117,11.535,99342.508
1604166158251,2020-10-31T13:42:38.251,11.669,99342.508
1604166158388,2020-10-31T13:42:38.388,11.806,99342.969
1604166158524,2020-10-31T13:42:38.524,11.942,99347.719
1604166158659,2020-10-31T13:42:38.659,12.077,99342.141
1604166158795,2020-10-31T13:42:38.795,12.213,99344.273
1604166158931,2020-10-31T13:42:38.931,12.349,99338.234
1604166159066,2020-10-31T13:42:39.066,12.484,99342.141
1604166159202,2020-10-31T13:42:39.202,12.620,99348.180
1604166159337,2020-10-31T13:42:39.337,12.755,99345.641
1604166159473,2020-10-31T13:42:39.473,12.891,99343.500
1604166159609,2020-10-31T13:42:39.609,13.027,99342.203
1604166159744,2020-10-31T13:42:39.744,13.162,99346.938
1604166159880,2020-10-31T13:42:39.880,13.298,99346.938
1604166160017,2020-10-31T13:42:40.017,13.435,99346.477
1604166160151,2020-10-31T13:42:40.151,13.569,99352.078
1604166160288,2020-10-31T13:42:40.288,13.706,99346.406
1604166160424,2020-10-31T13:42:40.424,13.842,99344.742
1604166160559,2020-10-31T13:42:40.559,13.977,99341.672
1604166160695,2020-10-31T13:42:40.695,14.113,99347.719
1604166160830,2020-10-31T13:42:40.830,14.248,99349.484
1604166160966,2020-10-31T13:42:40.966,14.384,99343.805
1604166161102,2020-10-31T13:42:41.102,14.520,99343.805
1604166161237,2020-10-31T13:42:41.237,14.655,99346.406
1604166161373,2020-10-31T13:42:41.373,14.791,99346.406
1604166161509,2020-10-31T13:42:41.509,14.927,99349.016
1604166161644,2020-10-31T13:42:41.644,15.062,99342.141
1604166161780,2020-10-31T13:42:41.780,15.198,99350.313
1604166161916,2020-10-31T13:42:41.916,15.334,99344.273
1604166162051,2020-10-31T13:42:42.051,15.469,99343.438
1604166162187,2020-10-31T13:42:42.187,15.605,99346.406
1604166162322,2020-10-31T13:42:42.322,15.740,99343.438
1604166162458,2020-10-31T13:42:42.458,15.876,99347.344
1604166162595,2020-10-31T13:42:42.595,16.013,99342.578
1604166162729,2020-10-31T13:42:42.729,16.147,99342.969
1604166162866,2020-10-31T13:42:42.866,16.284,99345.172
1604166163002,2020-10-31T13:42:43.002,16.420,99348.648
1604166163137,2020-10-31T13:42:43.137,16.555,99346.047
1604166163273,2020-10-31T13:42:43.273,16.691,99343.039
1604166163408,2020-10-31T13:42:43.408,16.826,99334.328
1604166163544,2020-10-31T13:42:43.544,16.962,99339.969
1604166163680,2020-10-31T13:42:43.680,17.098,99346.875
1604166163815,2020-10-31T13:42:43.815,17.233,99346.875
1604166163951,2020-10-31T13:42:43.951,17.369,99346.047
1604166164087,2020-10-31T13:42:44.087,17.505,99343.438
1604166164222,2020-10-31T13:42:44.222,17.640,99346.047
1604166164358,2020-10-31T13:42:44.358,17.776,99342.141
1604166164493,2020-10-31T13:42:44.493,17.911,99344.742
1604166164629,2020-10-31T13:42:44.629,18.047,99346.047
1604166164766,2020-10-31T13:42:44.766,18.184,99343.875
1604166164900,2020-10-31T13:42:44.900,18.318,99348.578
1604166165037,2020-10-31T13:42:45.037,18.455,99346.406
1604166165173,2020-10-31T13:42:45.173,18.591,99341.203
1604166165308,2020-10-31T13:42:45.308,18.726,99344.672
1604166165444,2020-10-31T13:42:45.444,18.862,99345.516
1604166165579,2020-10-31T13:42:45.579,18.997,99345.516
1604166165715,2020-10-31T13:42:45.715,19.133,99347.648
1604166165851,2020-10-31T13:42:45.851,19.269,99342.906
1604166165986,2020-10-31T13:42:45.986,19.404,99342.906
1604166166122,2020-10-31T13:42:46.122,19.540,99345.516
1604166166258,2020-10-31T13:42:46.258,19.676,99344.141
1604166166393,2020-10-31T13:42:46.393,19.811,99345.047
1604166166529,2020-10-31T13:42:46.529,19.947,99346.344
1604166166664,2020-10-31T13:42:46.664,20.082,99345.875
1604166166800,2020-10-31T13:42:46.800,20.218,99344.578
1604166166936,2020-10-31T13:42:46.936,20.354,99345.453
1604166167071,2020-10-31T13:42:47.071,20.489,99344.578
1604166167207,2020-10-31T13:42:47.207,20.625,99345.047
1604166167344,2020-10-31T13:42:47.344,20.762,99344.578
1604166167478,2020-10-31T13:42:47.478,20.896,99341.977
1604166167615,2020-10-31T13:42:47.615,21.033,99343.273
1604166167749,2020-10-31T13:42:47.749,21.167,99348.484
1604166167886,2020-10-31T13:42:47.886,21.304,99348.484
1604166168022,2020-10-31T13:42:48.022,21.440,99344.578
1604166168157,2020-10-31T13:42:48.157,21.575,99342.906
1604166168293,2020-10-31T13:42:48.293,21.711,99348.953
1604166168429,2020-10-31T13:42:48.429,21.847,99347.180
1604166168564,2020-10-31T13:42:48.564,21.982,99344.211
1604166168700,2020-10-31T13:42:48.700,22.118,99347.180
1604166168836,2020-10-31T13:42:48.836,22.254,99348.578
1604166168971,2020-10-31T13:42:48.971,22.389,99346.813
1604166169107,2020-10-31T13:42:49.107,22.525,99343.742
1604166169244,2020-10-31T13:42:49.244,22.662,99348.117
1604166169378,2020-10-31T13:42:49.378,22.796,99345.109
1604166169515,2020-10-31T13:42:49.515,22.933,99342.508
1604166169649,2020-10-31T13:42:49.649,23.067,99351.547
1604166169786,2020-10-31T13:42:49.786,23.204,99343.375
1604166169922,2020-10-31T13:42:49.922,23.340,99342.508
1604166170057,2020-10-31T13:42:50.057,23.475,99345.109
1604166170193,2020-10-31T13:42:50.193,23.611,99344.273
1604166170329,2020-10-31T13:42:50.329,23.747,99343.805
1604166170464,2020-10-31T13:42:50.464,23.882,99345.109
1604166170600,2020-10-31T13:42:50.600,24.018,99342.508
1604166170736,2020-10-31T13:42:50.736,24.154,99342.969
1604166170871,2020-10-31T13:42:50.871,24.289,99343.805
1604166171007,2020-10-31T13:42:51.007,24.425,99347.719
1604166171142,2020-10-31T13:42:51.142,24.560,99347.719
1604166171278,2020-10-31T13:42:51.278,24.696,99349.883
