epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1603645267018,2020-10-25T13:01:07.018,0.000,-4.939,-4.939,-1.951
1603645267028,2020-10-25T13:01:07.028,0.010,-5.244,-4.512,-2.378
1603645267038,2020-10-25T13:01:07.038,0.020,-4.695,-4.512,-1.951
1603645267048,2020-10-25T13:01:07.048,0.030,-4.634,-4.451,-2.317
1603645267058,2020-10-25T13:01:07.058,0.040,-4.390,-4.390,-2.561
1603645267068,2020-10-25T13:01:07.068,0.050,-4.146,-4.146,-2.683
1603645267078,2020-10-25T13:01:07.078,0.060,-3.963,-3.963,-2.866
1603645267088,2020-10-25T13:01:07.088,0.070,-3.598,-3.720,-3.110
1603645267098,2020-10-25T13:01:07.098,0.080,-3.537,-3.537,-3.659
1603645267108,2020-10-25T13:01:07.108,0.090,-3.537,-3.293,-4.207
1603645267118,2020-10-25T13:01:07.118,0.100,-3.232,-2.927,-4.756
1603645267128,2020-10-25T13:01:07.128,0.110,-3.049,-2.622,-5.549
1603645267138,2020-10-25T13:01:07.138,0.120,-2.866,-2.134,-6.341
1603645267148,2020-10-25T13:01:07.148,0.130,-2.500,-1.585,-7.012
1603645267158,2020-10-25T13:01:07.158,0.140,-2.195,-1.098,-7.866
1603645267168,2020-10-25T13:01:07.168,0.150,-2.073,-0.610,-8.537
1603645267178,2020-10-25T13:01:07.178,0.160,-2.073,0.000,-9.390
1603645267188,2020-10-25T13:01:07.188,0.170,-0.732,0.610,-10.610
1603645267198,2020-10-25T13:01:07.198,0.180,-1.585,0.732,-11.707
1603645267208,2020-10-25T13:01:07.208,0.190,-2.317,0.976,-12.256
1603645267218,2020-10-25T13:01:07.218,0.200,0.366,2.012,-11.890
1603645267228,2020-10-25T13:01:07.228,0.210,2.195,3.354,-11.463
1603645267238,2020-10-25T13:01:07.238,0.220,2.256,4.207,-11.585
1603645267248,2020-10-25T13:01:07.248,0.230,2.439,4.573,-11.951
1603645267258,2020-10-25T13:01:07.258,0.240,2.744,5.183,-12.378
1603645267268,2020-10-25T13:01:07.268,0.250,2.805,6.037,-12.378
1603645267278,2020-10-25T13:01:07.278,0.260,3.780,6.890,-12.317
1603645267288,2020-10-25T13:01:07.288,0.270,4.817,7.500,-12.988
1603645267298,2020-10-25T13:01:07.298,0.280,4.146,7.866,-13.963
1603645267308,2020-10-25T13:01:07.308,0.290,2.805,8.171,-15.061
1603645267318,2020-10-25T13:01:07.318,0.300,1.890,8.415,-16.098
1603645267328,2020-10-25T13:01:07.328,0.310,1.768,8.598,-16.829
1603645267338,2020-10-25T13:01:07.338,0.320,1.829,8.780,-17.134
1603645267348,2020-10-25T13:01:07.348,0.330,1.890,8.841,-17.317
1603645267358,2020-10-25T13:01:07.358,0.340,1.768,8.780,-17.561
1603645267368,2020-10-25T13:01:07.368,0.350,1.890,8.841,-17.317
1603645267378,2020-10-25T13:01:07.378,0.360,2.744,8.841,-16.951
1603645267388,2020-10-25T13:01:07.388,0.370,3.780,8.902,-16.646
1603645267398,2020-10-25T13:01:07.398,0.380,4.634,9.085,-16.646
1603645267408,2020-10-25T13:01:07.408,0.390,5.793,9.207,-16.829
1603645267418,2020-10-25T13:01:07.418,0.400,7.012,9.695,-17.622
1603645267428,2020-10-25T13:01:07.428,0.410,8.110,10.183,-18.659
1603645267438,2020-10-25T13:01:07.438,0.420,8.720,10.671,-20.061
1603645267448,2020-10-25T13:01:07.448,0.430,8.780,11.098,-21.585
1603645267458,2020-10-25T13:01:07.458,0.440,9.024,11.402,-22.927
1603645267468,2020-10-25T13:01:07.468,0.450,10.244,11.951,-24.207
1603645267478,2020-10-25T13:01:07.478,0.460,11.524,12.805,-26.037
1603645267488,2020-10-25T13:01:07.488,0.470,13.049,13.902,-28.049
1603645267498,2020-10-25T13:01:07.498,0.480,15.366,15.244,-30.305
1603645267508,2020-10-25T13:01:07.508,0.490,17.500,16.707,-32.988
1603645267518,2020-10-25T13:01:07.518,0.500,19.085,18.537,-36.341
1603645267528,2020-10-25T13:01:07.528,0.510,19.756,20.549,-40.061
1603645267538,2020-10-25T13:01:07.538,0.520,19.695,22.744,-44.024
1603645267548,2020-10-25T13:01:07.548,0.530,20.061,25.183,-47.866
1603645267558,2020-10-25T13:01:07.558,0.540,20.000,27.317,-52.012
1603645267568,2020-10-25T13:01:07.568,0.550,18.780,29.329,-56.341
1603645267578,2020-10-25T13:01:07.578,0.560,17.073,31.220,-60.244
1603645267588,2020-10-25T13:01:07.588,0.570,16.402,33.476,-63.598
1603645267598,2020-10-25T13:01:07.598,0.580,17.866,36.280,-66.890
1603645267608,2020-10-25T13:01:07.608,0.590,20.793,39.817,-70.854
1603645267618,2020-10-25T13:01:07.618,0.600,24.085,43.049,-75.000
