epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1603645521000,2020-10-25T13:05:21.000,0.000,-1.037,-0.366,-0.305
1603645521010,2020-10-25T13:05:21.010,0.010,-0.793,-0.061,-0.061
1603645521020,2020-10-25T13:05:21.020,0.020,-0.793,-0.366,-0.427
1603645521030,2020-10-25T13:05:21.030,0.030,-0.915,-0.732,-0.610
1603645521040,2020-10-25T13:05:21.040,0.040,-1.098,-0.915,-0.671
1603645521050,2020-10-25T13:05:21.050,0.050,-1.037,-1.098,-0.610
1603645521060,2020-10-25T13:05:21.060,0.060,-0.854,-1.220,-0.549
1603645521070,2020-10-25T13:05:21.070,0.070,-0.915,-1.341,-0.549
1603645521080,2020-10-25T13:05:21.080,0.080,-1.037,-1.402,-0.549
1603645521090,2020-10-25T13:05:21.090,0.090,-1.037,-1.341,-0.549
1603645521100,2020-10-25T13:05:21.100,0.100,-0.854,-1.463,-0.610
1603645521110,2020-10-25T13:05:21.110,0.110,-0.976,-1.402,-0.732
1603645521120,2020-10-25T13:05:21.120,0.120,-0.915,-1.402,-0.793
1603645521130,2020-10-25T13:05:21.130,0.130,-0.732,-1.280,-0.732
1603645521140,2020-10-25T13:05:21.140,0.140,-0.671,-1.220,-0.793
1603645521150,2020-10-25T13:05:21.150,0.150,-0.610,-1.220,-0.793
1603645521160,2020-10-25T13:05:21.160,0.160,-0.488,-1.159,-0.793
1603645521170,2020-10-25T13:05:21.170,0.170,-0.366,-1.037,-0.793
1603645521180,2020-10-25T13:05:21.180,0.180,-0.305,-0.915,-0.671
1603645521190,2020-10-25T13:05:21.190,0.190,-0.183,-0.793,-0.549
1603645521200,2020-10-25T13:05:21.200,0.200,-0.183,-0.671,-0.427
1603645521210,2020-10-25T13:05:21.210,0.210,-0.183,-0.610,-0.427
1603645521220,2020-10-25T13:05:21.220,0.220,-0.183,-0.610,-0.427
1603645521230,2020-10-25T13:05:21.230,0.230,0.061,-0.488,-0.366
1603645521240,2020-10-25T13:05:21.240,0.240,0.061,-0.488,-0.366
1603645521250,2020-10-25T13:05:21.250,0.250,-0.061,-0.610,-0.488
1603645521260,2020-10-25T13:05:21.260,0.260,-0.183,-0.549,-0.549
1603645521270,2020-10-25T13:05:21.270,0.270,-0.183,-0.549,-0.610
1603645521280,2020-10-25T13:05:21.280,0.280,-0.122,-0.610,-0.732
1603645521290,2020-10-25T13:05:21.290,0.290,-0.183,-0.671,-0.671
1603645521300,2020-10-25T13:05:21.300,0.300,-0.244,-0.488,-0.671
1603645521310,2020-10-25T13:05:21.310,0.310,-0.183,-0.427,-0.610
1603645521320,2020-10-25T13:05:21.320,0.320,-0.366,-0.488,-0.549
1603645521330,2020-10-25T13:05:21.330,0.330,-0.244,-0.427,-0.549
1603645521340,2020-10-25T13:05:21.340,0.340,0.061,-0.305,-0.549
1603645521350,2020-10-25T13:05:21.350,0.350,0.183,-0.305,-0.305
1603645521360,2020-10-25T13:05:21.360,0.360,-0.061,-0.427,-0.183
1603645521370,2020-10-25T13:05:21.370,0.370,-0.244,-0.488,-0.244
1603645521380,2020-10-25T13:05:21.380,0.380,-0.366,-0.610,-0.366
1603645521390,2020-10-25T13:05:21.390,0.390,-0.427,-0.793,-0.427
1603645521400,2020-10-25T13:05:21.400,0.400,0.061,-0.793,-0.488
1603645521410,2020-10-25T13:05:21.410,0.410,0.610,-0.732,-0.671
1603645521420,2020-10-25T13:05:21.420,0.420,0.976,-0.793,-0.915
1603645521430,2020-10-25T13:05:21.430,0.430,1.280,-0.671,-0.732
1603645521440,2020-10-25T13:05:21.440,0.440,1.220,-0.427,-0.610
1603645521450,2020-10-25T13:05:21.450,0.450,0.915,-0.244,-0.427
1603645521460,2020-10-25T13:05:21.460,0.460,0.610,-0.183,-0.183
1603645521470,2020-10-25T13:05:21.470,0.470,0.671,0.122,-0.061
1603645521480,2020-10-25T13:05:21.480,0.480,0.854,0.549,-0.061
1603645521490,2020-10-25T13:05:21.490,0.490,0.976,0.732,-0.061
1603645521500,2020-10-25T13:05:21.500,0.500,0.854,0.793,-0.061
1603645521510,2020-10-25T13:05:21.510,0.510,0.915,0.915,-0.061
1603645521520,2020-10-25T13:05:21.520,0.520,0.793,0.854,0.000
1603645521530,2020-10-25T13:05:21.530,0.530,0.732,0.671,-0.061
1603645521540,2020-10-25T13:05:21.540,0.540,0.305,0.427,-0.061
1603645521550,2020-10-25T13:05:21.550,0.550,0.000,0.122,0.000
1603645521560,2020-10-25T13:05:21.560,0.560,-0.061,-0.122,0.122
1603645521570,2020-10-25T13:05:21.570,0.570,0.000,-0.305,0.183
1603645521580,2020-10-25T13:05:21.580,0.580,0.000,-0.366,0.244
