epoch (ms),time (-13:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1603644776452,2020-10-25T12:52:56.452,0.000,0.000005375,-0.000035812,0.000018750
1603644776502,2020-10-25T12:52:56.502,0.050,0.000004688,-0.000035812,0.000018688
1603644776552,2020-10-25T12:52:56.552,0.100,0.000004688,-0.000037250,0.000018688
1603644776602,2020-10-25T12:52:56.602,0.150,0.000005062,-0.000037625,0.000018312
1603644776652,2020-10-25T12:52:56.652,0.200,0.000004688,-0.000035812,0.000017938
1603644776702,2020-10-25T12:52:56.702,0.250,0.000005062,-0.000036938,0.000018750
1603644776752,2020-10-25T12:52:56.752,0.300,0.000005375,-0.000035812,0.000017562
1603644776802,2020-10-25T12:52:56.802,0.350,0.000003250,-0.000036187,0.000017187
1603644776852,2020-10-25T12:52:56.852,0.400,0.000005375,-0.000036187,0.000018750
1603644776902,2020-10-25T12:52:56.902,0.450,0.000005062,-0.000035812,0.000018750
1603644776952,2020-10-25T12:52:56.952,0.500,0.000004313,-0.000036562,0.000019500
1603644777002,2020-10-25T12:52:57.002,0.550,0.000004313,-0.000036938,0.000019500
1603644777052,2020-10-25T12:52:57.052,0.600,0.000003937,-0.000036938,0.000019500
1603644777102,2020-10-25T12:52:57.102,0.650,0.000004688,-0.000037313,0.000020250
1603644777152,2020-10-25T12:52:57.152,0.700,0.000005750,-0.000038000,0.000019125
1603644777202,2020-10-25T12:52:57.202,0.750,0.000005375,-0.000038750,0.000019500
1603644777252,2020-10-25T12:52:57.252,0.800,0.000006125,-0.000037625,0.000019875
1603644777302,2020-10-25T12:52:57.302,0.850,0.000006875,-0.000038000,0.000019125
1603644777352,2020-10-25T12:52:57.352,0.900,0.000007562,-0.000037625,0.000018750
1603644777402,2020-10-25T12:52:57.402,0.950,0.000008687,-0.000038750,0.000018750
1603644777452,2020-10-25T12:52:57.452,1.000,0.000009375,-0.000039437,0.000018750
1603644777502,2020-10-25T12:52:57.502,1.050,0.000009750,-0.000040562,0.000018375
1603644777552,2020-10-25T12:52:57.552,1.100,0.000011562,-0.000039437,0.000019125
1603644777602,2020-10-25T12:52:57.602,1.150,0.000011562,-0.000040562,0.000017562
1603644777652,2020-10-25T12:52:57.652,1.200,0.000010812,-0.000039125,0.000016813
1603644777702,2020-10-25T12:52:57.702,1.250,0.000011187,-0.000039125,0.000017187
1603644777752,2020-10-25T12:52:57.752,1.300,0.000010500,-0.000039125,0.000017562
1603644777802,2020-10-25T12:52:57.802,1.350,0.000011187,-0.000039437,0.000017938
1603644777852,2020-10-25T12:52:57.852,1.400,0.000010500,-0.000039125,0.000018375
1603644777902,2020-10-25T12:52:57.902,1.450,0.000011562,-0.000038750,0.000018750
1603644777952,2020-10-25T12:52:57.952,1.500,0.000010812,-0.000039813,0.000017562
1603644778002,2020-10-25T12:52:58.002,1.550,0.000011187,-0.000039437,0.000017187
1603644778052,2020-10-25T12:52:58.052,1.600,0.000010500,-0.000040188,0.000016813
1603644778102,2020-10-25T12:52:58.102,1.650,0.000010500,-0.000040562,0.000016813
1603644778152,2020-10-25T12:52:58.152,1.700,0.000010125,-0.000040188,0.000017562
1603644778202,2020-10-25T12:52:58.202,1.750,0.000011562,-0.000040937,0.000017562
1603644778252,2020-10-25T12:52:58.252,1.800,0.000011187,-0.000040937,0.000017938
1603644778302,2020-10-25T12:52:58.302,1.850,0.000011937,-0.000041250,0.000016813
1603644778352,2020-10-25T12:52:58.352,1.900,0.000011187,-0.000041250,0.000017562
1603644778402,2020-10-25T12:52:58.402,1.950,0.000011937,-0.000041250,0.000017562
1603644778452,2020-10-25T12:52:58.452,2.000,0.000010812,-0.000040937,0.000016813
1603644778502,2020-10-25T12:52:58.502,2.050,0.000011187,-0.000039813,0.000016437
1603644778552,2020-10-25T12:52:58.552,2.100,0.000009750,-0.000039125,0.000017187
1603644778602,2020-10-25T12:52:58.602,2.150,0.000007562,-0.000037625,0.000017562
1603644778652,2020-10-25T12:52:58.652,2.200,0.000007188,-0.000036938,0.000017562
1603644778702,2020-10-25T12:52:58.702,2.250,0.000005750,-0.000036187,0.000017187
1603644778752,2020-10-25T12:52:58.752,2.300,0.000005750,-0.000036187,0.000018375
1603644778802,2020-10-25T12:52:58.802,2.350,0.000005375,-0.000036187,0.000018375
1603644778852,2020-10-25T12:52:58.852,2.400,0.000006125,-0.000035500,0.000018375
1603644778902,2020-10-25T12:52:58.902,2.450,0.000005375,-0.000035500,0.000018375
1603644778952,2020-10-25T12:52:58.952,2.500,0.000005750,-0.000035500,0.000018750
1603644779002,2020-10-25T12:52:59.002,2.550,0.000005062,-0.000036187,0.000018375
1603644779052,2020-10-25T12:52:59.052,2.600,0.000004688,-0.000035812,0.000019500
1603644779102,2020-10-25T12:52:59.102,2.650,0.000004313,-0.000036187,0.000019500
1603644779152,2020-10-25T12:52:59.152,2.700,0.000003563,-0.000036562,0.000019875
1603644779202,2020-10-25T12:52:59.202,2.750,0.000004313,-0.000036562,0.000019500
1603644779252,2020-10-25T12:52:59.252,2.800,0.000003937,-0.000037313,0.000021437
1603644779302,2020-10-25T12:52:59.302,2.850,0.000003250,-0.000037313,0.000022187
1603644779352,2020-10-25T12:52:59.352,2.900,0.000003937,-0.000036187,0.000021813
