epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1605380399157,2020-11-14T13:59:59.157,0.000,0.679,0.719,-0.169
1605380399167,2020-11-14T13:59:59.167,0.010,0.686,0.719,-0.175
1605380399177,2020-11-14T13:59:59.177,0.020,0.680,0.721,-0.178
1605380399187,2020-11-14T13:59:59.187,0.030,0.689,0.715,-0.171
1605380399197,2020-11-14T13:59:59.197,0.040,0.682,0.714,-0.173
1605380399207,2020-11-14T13:59:59.207,0.050,0.677,0.716,-0.167
1605380399217,2020-11-14T13:59:59.217,0.060,0.671,0.709,-0.159
1605380399227,2020-11-14T13:59:59.227,0.070,0.676,0.701,-0.157
1605380399237,2020-11-14T13:59:59.237,0.080,0.680,0.702,-0.149
1605380399247,2020-11-14T13:59:59.247,0.090,0.679,0.713,-0.153
1605380399257,2020-11-14T13:59:59.257,0.100,0.679,0.728,-0.157
1605380399267,2020-11-14T13:59:59.267,0.110,0.678,0.724,-0.152
1605380399277,2020-11-14T13:59:59.277,0.120,0.673,0.718,-0.150
1605380399287,2020-11-14T13:59:59.287,0.130,0.674,0.723,-0.151
1605380399297,2020-11-14T13:59:59.297,0.140,0.671,0.734,-0.164
1605380399307,2020-11-14T13:59:59.307,0.150,0.669,0.742,-0.167
1605380399317,2020-11-14T13:59:59.317,0.160,0.672,0.739,-0.165
1605380399327,2020-11-14T13:59:59.327,0.170,0.682,0.734,-0.163
1605380399337,2020-11-14T13:59:59.337,0.180,0.688,0.727,-0.167
1605380399347,2020-11-14T13:59:59.347,0.190,0.688,0.724,-0.169
1605380399357,2020-11-14T13:59:59.357,0.200,0.688,0.720,-0.172
1605380399367,2020-11-14T13:59:59.367,0.210,0.687,0.710,-0.168
1605380399377,2020-11-14T13:59:59.377,0.220,0.684,0.710,-0.170
1605380399387,2020-11-14T13:59:59.387,0.230,0.677,0.717,-0.171
1605380399397,2020-11-14T13:59:59.397,0.240,0.667,0.722,-0.175
1605380399407,2020-11-14T13:59:59.407,0.250,0.670,0.718,-0.166
1605380399417,2020-11-14T13:59:59.417,0.260,0.658,0.708,-0.158
1605380399427,2020-11-14T13:59:59.427,0.270,0.654,0.715,-0.147
1605380399437,2020-11-14T13:59:59.437,0.280,0.656,0.709,-0.150
1605380399447,2020-11-14T13:59:59.447,0.290,0.658,0.715,-0.159
1605380399457,2020-11-14T13:59:59.457,0.300,0.654,0.732,-0.164
1605380399467,2020-11-14T13:59:59.467,0.310,0.657,0.729,-0.160
1605380399477,2020-11-14T13:59:59.477,0.320,0.662,0.724,-0.158
1605380399487,2020-11-14T13:59:59.487,0.330,0.670,0.715,-0.156
1605380399497,2020-11-14T13:59:59.497,0.340,0.672,0.718,-0.162
1605380399507,2020-11-14T13:59:59.507,0.350,0.669,0.725,-0.161
1605380399517,2020-11-14T13:59:59.517,0.360,0.666,0.726,-0.153
1605380399527,2020-11-14T13:59:59.527,0.370,0.670,0.733,-0.151
1605380399537,2020-11-14T13:59:59.537,0.380,0.676,0.734,-0.148
1605380399547,2020-11-14T13:59:59.547,0.390,0.663,0.730,-0.151
