epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1605378009009,2020-11-14T13:20:09.009,0.000,98622.172
1605378009144,2020-11-14T13:20:09.144,0.135,98618.266
1605378009280,2020-11-14T13:20:09.280,0.271,98620.516
1605378009415,2020-11-14T13:20:09.415,0.406,98618.266
1605378009551,2020-11-14T13:20:09.551,0.542,98617.438
1605378009687,2020-11-14T13:20:09.687,0.678,98619.219
1605378009822,2020-11-14T13:20:09.822,0.813,98619.656
1605378009958,2020-11-14T13:20:09.958,0.949,98621.820
1605378010094,2020-11-14T13:20:10.094,1.085,98620.875
1605378010229,2020-11-14T13:20:10.229,1.220,98618.266
1605378010365,2020-11-14T13:20:10.365,1.356,98616.133
1605378010500,2020-11-14T13:20:10.500,1.491,98620.875
1605378010636,2020-11-14T13:20:10.636,1.627,98620.516
1605378010772,2020-11-14T13:20:10.772,1.763,98618.266
1605378010907,2020-11-14T13:20:10.907,1.898,98619.563
1605378011043,2020-11-14T13:20:11.043,2.034,98620.047
1605378011180,2020-11-14T13:20:11.180,2.171,98623.000
1605378011314,2020-11-14T13:20:11.314,2.305,98621.258
1605378011451,2020-11-14T13:20:11.451,2.442,98618.266
1605378011587,2020-11-14T13:20:11.587,2.578,98616.875
1605378011722,2020-11-14T13:20:11.722,2.713,98624.695
1605378011858,2020-11-14T13:20:11.858,2.849,98614.359
1605378011993,2020-11-14T13:20:11.993,2.984,98619.094
1605378012129,2020-11-14T13:20:12.129,3.120,98621.258
1605378012265,2020-11-14T13:20:12.265,3.256,98615.094
1605378012400,2020-11-14T13:20:12.400,3.391,98619.484
1605378012536,2020-11-14T13:20:12.536,3.527,98618.563
1605378012672,2020-11-14T13:20:12.672,3.663,98622.914
1605378012807,2020-11-14T13:20:12.807,3.798,98617.703
1605378012943,2020-11-14T13:20:12.943,3.934,98612.484
1605378013078,2020-11-14T13:20:13.078,4.069,98611.188
1605378013214,2020-11-14T13:20:13.214,4.205,98616.875
1605378013351,2020-11-14T13:20:13.351,4.342,98615.953
1605378013487,2020-11-14T13:20:13.487,4.478,98621.172
1605378013622,2020-11-14T13:20:13.622,4.613,98620.734
1605378013758,2020-11-14T13:20:13.758,4.749,98618.563
1605378013894,2020-11-14T13:20:13.894,4.885,98615.516
1605378014029,2020-11-14T13:20:14.029,5.020,98616.344
1605378014165,2020-11-14T13:20:14.165,5.156,98617.203
1605378014300,2020-11-14T13:20:14.300,5.291,98622.859
1605378014436,2020-11-14T13:20:14.436,5.427,98615.898
1605378014572,2020-11-14T13:20:14.572,5.563,98620.734
1605378014707,2020-11-14T13:20:14.707,5.698,98612.906
1605378014843,2020-11-14T13:20:14.843,5.834,98616.820
1605378014980,2020-11-14T13:20:14.980,5.971,98618.125
1605378015114,2020-11-14T13:20:15.114,6.105,98620.641
1605378015251,2020-11-14T13:20:15.251,6.242,98615.898
1605378015385,2020-11-14T13:20:15.385,6.376,98614.594
1605378015522,2020-11-14T13:20:15.522,6.513,98623.719
1605378015658,2020-11-14T13:20:15.658,6.649,98622.031
1605378015793,2020-11-14T13:20:15.793,6.784,98618.508
1605378015929,2020-11-14T13:20:15.929,6.920,98618.508
1605378016065,2020-11-14T13:20:16.065,7.056,98617.203
1605378016200,2020-11-14T13:20:16.200,7.191,98618.508
1605378016336,2020-11-14T13:20:16.336,7.327,98618.508
1605378016472,2020-11-14T13:20:16.472,7.463,98618.508
1605378016607,2020-11-14T13:20:16.607,7.598,98620.156
1605378016743,2020-11-14T13:20:16.743,7.734,98616.727
1605378016878,2020-11-14T13:20:16.878,7.869,98617.203
1605378017014,2020-11-14T13:20:17.014,8.005,98614.125
1605378017150,2020-11-14T13:20:17.150,8.141,98615.422
1605378017285,2020-11-14T13:20:17.285,8.276,98614.953
1605378017421,2020-11-14T13:20:17.421,8.412,98611.859
1605378017558,2020-11-14T13:20:17.558,8.549,98615.422
1605378017692,2020-11-14T13:20:17.692,8.683,98616.250
1605378017829,2020-11-14T13:20:17.829,8.820,98615.898
1605378017963,2020-11-14T13:20:17.963,8.954,98622.297
1605378018100,2020-11-14T13:20:18.100,9.091,98620.992
1605378018236,2020-11-14T13:20:18.236,9.227,98614.031
1605378018371,2020-11-14T13:20:18.371,9.362,98616.250
1605378018507,2020-11-14T13:20:18.507,9.498,98614.031
1605378018643,2020-11-14T13:20:18.643,9.634,98620.547
1605378018778,2020-11-14T13:20:18.778,9.769,98612.813
1605378018914,2020-11-14T13:20:18.914,9.905,98617.938
1605378019049,2020-11-14T13:20:19.049,10.040,98619.688
1605378019185,2020-11-14T13:20:19.185,10.176,98619.250
1605378019321,2020-11-14T13:20:19.321,10.312,98616.641
1605378019456,2020-11-14T13:20:19.456,10.447,98615.773
1605378019592,2020-11-14T13:20:19.592,10.583,98615.773
1605378019729,2020-11-14T13:20:19.729,10.720,98619.250
1605378019863,2020-11-14T13:20:19.863,10.854,98619.250
1605378020000,2020-11-14T13:20:20.000,10.991,98612.727
1605378020136,2020-11-14T13:20:20.136,11.127,98614.859
1605378020271,2020-11-14T13:20:20.271,11.262,98617.469
1605378020407,2020-11-14T13:20:20.407,11.398,98617.469
1605378020543,2020-11-14T13:20:20.543,11.534,98619.250
1605378020678,2020-11-14T13:20:20.678,11.669,98612.344
1605378020814,2020-11-14T13:20:20.814,11.805,98616.641
1605378020950,2020-11-14T13:20:20.950,11.941,98614.953
1605378021085,2020-11-14T13:20:21.085,12.076,98614.859
1605378021221,2020-11-14T13:20:21.221,12.212,98623.984
1605378021357,2020-11-14T13:20:21.357,12.348,98611.422
1605378021492,2020-11-14T13:20:21.492,12.483,98614.031
1605378021628,2020-11-14T13:20:21.628,12.619,98619.250
1605378021765,2020-11-14T13:20:21.765,12.756,98617.938
1605378021899,2020-11-14T13:20:21.899,12.890,98617.078
1605378022036,2020-11-14T13:20:22.036,13.027,98619.688
1605378022172,2020-11-14T13:20:22.172,13.163,98617.938
1605378022307,2020-11-14T13:20:22.307,13.298,98621.375
1605378022443,2020-11-14T13:20:22.443,13.434,98613.641
1605378022578,2020-11-14T13:20:22.578,13.569,98617.938
1605378022714,2020-11-14T13:20:22.714,13.705,98617.938
1605378022850,2020-11-14T13:20:22.850,13.841,98616.156
1605378022985,2020-11-14T13:20:22.985,13.976,98616.641
1605378023121,2020-11-14T13:20:23.121,14.112,98614.031
1605378023257,2020-11-14T13:20:23.257,14.248,98613.172
1605378023392,2020-11-14T13:20:23.392,14.383,98618.383
1605378023528,2020-11-14T13:20:23.528,14.519,98616.156
1605378023663,2020-11-14T13:20:23.663,14.654,98616.641
1605378023799,2020-11-14T13:20:23.799,14.790,98614.031
1605378023936,2020-11-14T13:20:23.936,14.927,98614.469
1605378024070,2020-11-14T13:20:24.070,15.061,98616.992
1605378024207,2020-11-14T13:20:24.207,15.198,98616.641
1605378024343,2020-11-14T13:20:24.343,15.334,98614.031
1605378024478,2020-11-14T13:20:24.478,15.469,98616.641
1605378024614,2020-11-14T13:20:24.614,15.605,98617.938
1605378024750,2020-11-14T13:20:24.750,15.741,98620.906
1605378024885,2020-11-14T13:20:24.885,15.876,98622.680
1605378025021,2020-11-14T13:20:25.021,16.012,98617.938
1605378025156,2020-11-14T13:20:25.156,16.147,98620.547
1605378025292,2020-11-14T13:20:25.292,16.283,98616.641
1605378025428,2020-11-14T13:20:25.428,16.419,98617.078
1605378025563,2020-11-14T13:20:25.563,16.554,98617.078
1605378025699,2020-11-14T13:20:25.699,16.690,98617.938
1605378025835,2020-11-14T13:20:25.835,16.826,98616.250
1605378025970,2020-11-14T13:20:25.970,16.961,98618.383
1605378026106,2020-11-14T13:20:26.106,17.097,98614.953
1605378026241,2020-11-14T13:20:26.241,17.232,98618.383
1605378026377,2020-11-14T13:20:26.377,17.368,98617.555
1605378026514,2020-11-14T13:20:26.514,17.505,98619.688
1605378026648,2020-11-14T13:20:26.648,17.639,98617.938
1605378026785,2020-11-14T13:20:26.785,17.776,98616.727
1605378026921,2020-11-14T13:20:26.921,17.912,98616.250
1605378027056,2020-11-14T13:20:27.056,18.047,98618.859
1605378027192,2020-11-14T13:20:27.192,18.183,98614.953
1605378027327,2020-11-14T13:20:27.327,18.318,98616.250
1605378027463,2020-11-14T13:20:27.463,18.454,98620.156
1605378027599,2020-11-14T13:20:27.599,18.590,98615.422
1605378027734,2020-11-14T13:20:27.734,18.725,98618.383
1605378027870,2020-11-14T13:20:27.870,18.861,98617.555
1605378028006,2020-11-14T13:20:28.006,18.997,98618.766
1605378028141,2020-11-14T13:20:28.141,19.132,98619.250
1605378028277,2020-11-14T13:20:28.277,19.268,98620.906
1605378028414,2020-11-14T13:20:28.414,19.405,98616.156
1605378028550,2020-11-14T13:20:28.550,19.541,98612.250
1605378028685,2020-11-14T13:20:28.685,19.676,98613.555
1605378028821,2020-11-14T13:20:28.821,19.812,98612.727
1605378028957,2020-11-14T13:20:28.957,19.948,98621.766
1605378029092,2020-11-14T13:20:29.092,20.083,98617.375
1605378029228,2020-11-14T13:20:29.228,20.219,98620.453
1605378029363,2020-11-14T13:20:29.363,20.354,98619.984
1605378029499,2020-11-14T13:20:29.499,20.490,98620.906
1605378029635,2020-11-14T13:20:29.635,20.626,98622.203
1605378029770,2020-11-14T13:20:29.770,20.761,98616.898
1605378029906,2020-11-14T13:20:29.906,20.897,98620.813
1605378030043,2020-11-14T13:20:30.043,21.034,98618.297
1605378030177,2020-11-14T13:20:30.177,21.168,98618.297
1605378030313,2020-11-14T13:20:30.313,21.304,98615.688
1605378030448,2020-11-14T13:20:30.448,21.439,98617.375
1605378030584,2020-11-14T13:20:30.584,21.575,98620.453
1605378030721,2020-11-14T13:20:30.721,21.712,98615.242
1605378030855,2020-11-14T13:20:30.855,21.846,98619.594
1605378030992,2020-11-14T13:20:30.992,21.983,98611.328
1605378031128,2020-11-14T13:20:31.128,22.119,98622.203
1605378031263,2020-11-14T13:20:31.263,22.254,98614.383
1605378031399,2020-11-14T13:20:31.399,22.390,98617.375
1605378031535,2020-11-14T13:20:31.535,22.526,98615.242
1605378031670,2020-11-14T13:20:31.670,22.661,98615.242
1605378031806,2020-11-14T13:20:31.806,22.797,98614.297
1605378031941,2020-11-14T13:20:31.941,22.932,98616.078
1605378032077,2020-11-14T13:20:32.077,23.068,98616.422
1605378032213,2020-11-14T13:20:32.213,23.204,98615.688
1605378032348,2020-11-14T13:20:32.348,23.339,98618.594
1605378032484,2020-11-14T13:20:32.484,23.475,98615.594
1605378032621,2020-11-14T13:20:32.621,23.612,98620.344
1605378032755,2020-11-14T13:20:32.755,23.746,98615.594
1605378032892,2020-11-14T13:20:32.892,23.883,98616.422
1605378033026,2020-11-14T13:20:33.026,24.017,98620.344
1605378033163,2020-11-14T13:20:33.163,24.154,98622.031
1605378033299,2020-11-14T13:20:33.299,24.290,98617.734
1605378033435,2020-11-14T13:20:33.435,24.426,98618.594
1605378033570,2020-11-14T13:20:33.570,24.561,98617.734
1605378033706,2020-11-14T13:20:33.706,24.697,98619.031
1605378033841,2020-11-14T13:20:33.841,24.832,98619.031
1605378033977,2020-11-14T13:20:33.977,24.968,98619.031
1605378034113,2020-11-14T13:20:34.113,25.104,98617.734
1605378034248,2020-11-14T13:20:34.248,25.239,98615.984
1605378034384,2020-11-14T13:20:34.384,25.375,98615.125
1605378034521,2020-11-14T13:20:34.521,25.512,98615.508
1605378034655,2020-11-14T13:20:34.655,25.646,98617.281
1605378034792,2020-11-14T13:20:34.792,25.783,98615.125
1605378034928,2020-11-14T13:20:34.928,25.919,98616.422
1605378035064,2020-11-14T13:20:35.064,26.055,98612.898
1605378035199,2020-11-14T13:20:35.199,26.190,98621.195
1605378035335,2020-11-14T13:20:35.335,26.326,98620.719
1605378035471,2020-11-14T13:20:35.471,26.462,98622.406
1605378035606,2020-11-14T13:20:35.606,26.597,98612.898
1605378035742,2020-11-14T13:20:35.742,26.733,98617.203
1605378035878,2020-11-14T13:20:35.878,26.869,98616.719
1605378036013,2020-11-14T13:20:36.013,27.004,98619.328
1605378036149,2020-11-14T13:20:36.149,27.140,98616.250
1605378036284,2020-11-14T13:20:36.284,27.275,98615.891
1605378036420,2020-11-14T13:20:36.420,27.411,98616.250
1605378036557,2020-11-14T13:20:36.557,27.548,98618.500
1605378036691,2020-11-14T13:20:36.691,27.682,98614.594
1605378036828,2020-11-14T13:20:36.828,27.819,98618.859
1605378036964,2020-11-14T13:20:36.964,27.955,98622.766
1605378037099,2020-11-14T13:20:37.099,28.090,98622.766
1605378037235,2020-11-14T13:20:37.235,28.226,98620.984
1605378037370,2020-11-14T13:20:37.370,28.361,98620.633
1605378037506,2020-11-14T13:20:37.506,28.497,98620.156
1605378037642,2020-11-14T13:20:37.642,28.633,98614.594
1605378037777,2020-11-14T13:20:37.777,28.768,98615.414
1605378037913,2020-11-14T13:20:37.913,28.904,98620.156
1605378038049,2020-11-14T13:20:38.049,29.040,98615.891
1605378038184,2020-11-14T13:20:38.184,29.175,98618.859
1605378038320,2020-11-14T13:20:38.320,29.311,98619.328
1605378038455,2020-11-14T13:20:38.455,29.446,98615.891
1605378038591,2020-11-14T13:20:38.591,29.582,98613.281
1605378038728,2020-11-14T13:20:38.728,29.719,98617.203
1605378038862,2020-11-14T13:20:38.862,29.853,98617.203
1605378038999,2020-11-14T13:20:38.999,29.990,98614.109
1605378039135,2020-11-14T13:20:39.135,30.126,98617.547
1605378039270,2020-11-14T13:20:39.270,30.261,98614.109
1605378039406,2020-11-14T13:20:39.406,30.397,98613.641
1605378039541,2020-11-14T13:20:39.541,30.532,98620.984
1605378039677,2020-11-14T13:20:39.677,30.668,98621.453
1605378039813,2020-11-14T13:20:39.813,30.804,98622.195
1605378039949,2020-11-14T13:20:39.949,30.940,98613.547
1605378040084,2020-11-14T13:20:40.084,31.075,98616.539
1605378040220,2020-11-14T13:20:40.220,31.211,98618.672
1605378040355,2020-11-14T13:20:40.355,31.346,98619.891
1605378040491,2020-11-14T13:20:40.491,31.482,98625.016
1605378040627,2020-11-14T13:20:40.627,31.618,98614.938
1605378040762,2020-11-14T13:20:40.762,31.753,98620.531
1605378040898,2020-11-14T13:20:40.898,31.889,98614.938
1605378041035,2020-11-14T13:20:41.035,32.026,98619.234
1605378041169,2020-11-14T13:20:41.169,32.160,98623.969
