epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1605379232926,2020-11-14T13:40:32.926,0.000,98631.469
1605379233062,2020-11-14T13:40:33.062,0.136,98626.594
1605379233197,2020-11-14T13:40:33.197,0.271,98629.688
1605379233333,2020-11-14T13:40:33.333,0.407,98622.328
1605379233469,2020-11-14T13:40:33.469,0.543,98629.688
1605379233604,2020-11-14T13:40:33.604,0.678,98624.945
1605379233740,2020-11-14T13:40:33.740,0.814,98629.211
1605379233875,2020-11-14T13:40:33.875,0.949,98621.383
1605379234011,2020-11-14T13:40:34.011,1.085,98625.297
1605379234147,2020-11-14T13:40:34.147,1.221,98620.078
1605379234282,2020-11-14T13:40:34.282,1.356,98626.594
1605379234418,2020-11-14T13:40:34.418,1.492,98629.688
1605379234554,2020-11-14T13:40:34.554,1.628,98624.375
1605379234689,2020-11-14T13:40:34.689,1.763,98626.031
1605379234825,2020-11-14T13:40:34.825,1.899,98627.336
1605379234962,2020-11-14T13:40:34.962,2.036,98616.898
1605379235096,2020-11-14T13:40:35.096,2.170,98618.594
1605379235233,2020-11-14T13:40:35.233,2.307,98622.023
1605379235367,2020-11-14T13:40:35.367,2.441,98624.188
1605379235504,2020-11-14T13:40:35.504,2.578,98623.234
1605379235640,2020-11-14T13:40:35.640,2.714,98621.930
1605379235775,2020-11-14T13:40:35.775,2.849,98622.766
1605379235911,2020-11-14T13:40:35.911,2.985,98615.789
1605379236047,2020-11-14T13:40:36.047,3.121,98620.531
1605379236182,2020-11-14T13:40:36.182,3.256,98621.750
1605379236318,2020-11-14T13:40:36.318,3.392,98623.047
1605379236453,2020-11-14T13:40:36.453,3.527,98617.828
1605379236589,2020-11-14T13:40:36.589,3.663,98625.188
1605379236725,2020-11-14T13:40:36.725,3.799,98623.406
1605379236860,2020-11-14T13:40:36.860,3.934,98625.563
1605379236996,2020-11-14T13:40:36.996,4.070,98621.656
1605379237133,2020-11-14T13:40:37.133,4.207,98618.563
1605379237267,2020-11-14T13:40:37.267,4.341,98622.391
1605379237404,2020-11-14T13:40:37.404,4.478,98619.391
1605379237540,2020-11-14T13:40:37.540,4.614,98621.563
1605379237675,2020-11-14T13:40:37.675,4.749,98624.617
1605379237811,2020-11-14T13:40:37.811,4.885,98623.219
1605379237947,2020-11-14T13:40:37.947,5.021,98622.391
1605379238082,2020-11-14T13:40:38.082,5.156,98624.047
1605379238218,2020-11-14T13:40:38.218,5.292,98618.469
1605379238353,2020-11-14T13:40:38.353,5.427,98625.828
1605379238489,2020-11-14T13:40:38.489,5.563,98620.609
1605379238625,2020-11-14T13:40:38.625,5.699,98626.656
1605379238760,2020-11-14T13:40:38.760,5.834,98624.047
1605379238896,2020-11-14T13:40:38.896,5.970,98620.125
1605379239032,2020-11-14T13:40:39.032,6.106,98618.820
1605379239167,2020-11-14T13:40:39.167,6.241,98613.156
1605379239303,2020-11-14T13:40:39.303,6.377,98614.906
1605379239440,2020-11-14T13:40:39.440,6.514,98624.047
1605379239574,2020-11-14T13:40:39.574,6.648,98617.516
1605379239711,2020-11-14T13:40:39.711,6.785,98618.820
1605379239845,2020-11-14T13:40:39.845,6.919,98622.734
1605379239982,2020-11-14T13:40:39.982,7.056,98616.688
1605379240118,2020-11-14T13:40:40.118,7.192,98624.906
1605379240253,2020-11-14T13:40:40.253,7.327,98616.688
1605379240389,2020-11-14T13:40:40.389,7.463,98621.906
1605379240525,2020-11-14T13:40:40.525,7.599,98624.906
1605379240660,2020-11-14T13:40:40.660,7.734,98627.133
1605379240796,2020-11-14T13:40:40.796,7.870,98622.297
1605379240931,2020-11-14T13:40:40.931,8.005,98624.906
1605379241067,2020-11-14T13:40:41.067,8.141,98623.594
1605379241203,2020-11-14T13:40:41.203,8.277,98622.297
1605379241338,2020-11-14T13:40:41.338,8.412,98625.734
1605379241474,2020-11-14T13:40:41.474,8.548,98625.734
1605379241611,2020-11-14T13:40:41.611,8.685,98622.734
1605379241745,2020-11-14T13:40:41.745,8.819,98620.031
1605379241882,2020-11-14T13:40:41.882,8.956,98623.031
1605379242016,2020-11-14T13:40:42.016,9.090,98624.328
1605379242153,2020-11-14T13:40:42.153,9.227,98629.555
1605379242289,2020-11-14T13:40:42.289,9.363,98622.109
1605379242424,2020-11-14T13:40:42.424,9.498,98629.938
1605379242560,2020-11-14T13:40:42.560,9.634,98629.938
1605379242696,2020-11-14T13:40:42.696,9.770,98628.188
1605379242831,2020-11-14T13:40:42.831,9.905,98626.406
1605379242967,2020-11-14T13:40:42.967,10.041,98625.102
1605379243102,2020-11-14T13:40:43.102,10.176,98629.016
1605379243238,2020-11-14T13:40:43.238,10.312,98621.664
1605379243374,2020-11-14T13:40:43.374,10.448,98627.711
1605379243509,2020-11-14T13:40:43.509,10.583,98620.359
1605379243645,2020-11-14T13:40:43.645,10.719,98628.094
1605379243781,2020-11-14T13:40:43.781,10.855,98629.938
1605379243916,2020-11-14T13:40:43.916,10.990,98626.406
1605379244052,2020-11-14T13:40:44.052,11.126,98625.578
1605379244189,2020-11-14T13:40:44.189,11.263,98629.016
1605379244323,2020-11-14T13:40:44.323,11.397,98618.188
1605379244460,2020-11-14T13:40:44.460,11.534,98620.797
1605379244594,2020-11-14T13:40:44.594,11.668,98619.047
1605379244731,2020-11-14T13:40:44.731,11.805,98624.273
1605379244867,2020-11-14T13:40:44.867,11.941,98624.273
1605379245002,2020-11-14T13:40:45.002,12.076,98619.883
1605379245138,2020-11-14T13:40:45.138,12.212,98625.102
1605379245274,2020-11-14T13:40:45.274,12.348,98626.406
1605379245409,2020-11-14T13:40:45.409,12.483,98620.703
1605379245545,2020-11-14T13:40:45.545,12.619,98625.484
1605379245680,2020-11-14T13:40:45.680,12.754,98623.313
1605379245816,2020-11-14T13:40:45.816,12.890,98622.875
1605379245952,2020-11-14T13:40:45.952,13.026,98624.180
1605379246087,2020-11-14T13:40:46.087,13.161,98620.703
1605379246223,2020-11-14T13:40:46.223,13.297,98622.875
1605379246360,2020-11-14T13:40:46.360,13.434,98614.188
1605379246494,2020-11-14T13:40:46.494,13.568,98621.570
1605379246631,2020-11-14T13:40:46.631,13.705,98625.008
1605379246767,2020-11-14T13:40:46.767,13.841,98624.180
1605379246902,2020-11-14T13:40:46.902,13.976,98627.141
1605379247038,2020-11-14T13:40:47.038,14.112,98623.703
1605379247174,2020-11-14T13:40:47.174,14.248,98625.484
1605379247309,2020-11-14T13:40:47.309,14.383,98624.180
1605379247445,2020-11-14T13:40:47.445,14.519,98620.266
1605379247580,2020-11-14T13:40:47.580,14.654,98623.313
1605379247716,2020-11-14T13:40:47.716,14.790,98622.016
1605379247852,2020-11-14T13:40:47.852,14.926,98619.883
1605379247987,2020-11-14T13:40:47.987,15.061,98619.883
1605379248123,2020-11-14T13:40:48.123,15.197,98623.797
1605379248260,2020-11-14T13:40:48.260,15.334,98621.188
1605379248394,2020-11-14T13:40:48.394,15.468,98626.891
1605379248531,2020-11-14T13:40:48.531,15.605,98625.102
1605379248667,2020-11-14T13:40:48.667,15.741,98621.664
1605379248802,2020-11-14T13:40:48.802,15.876,98621.664
1605379248938,2020-11-14T13:40:48.938,16.012,98622.969
