epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1627848161829,2021-08-01T16:02:41.829,0.000,-0.610,0.183,-0.122
1627848161839,2021-08-01T16:02:41.839,0.010,-0.488,-0.183,0.244
1627848161849,2021-08-01T16:02:41.849,0.020,-0.488,0.122,-0.122
1627848161859,2021-08-01T16:02:41.859,0.030,-0.305,0.122,0.061
1627848161869,2021-08-01T16:02:41.869,0.040,-0.061,0.061,0.061
1627848161879,2021-08-01T16:02:41.879,0.050,0.122,-0.244,-0.061
1627848161889,2021-08-01T16:02:41.889,0.060,-0.122,-0.549,-0.122
1627848161899,2021-08-01T16:02:41.899,0.070,-0.366,-0.671,-0.183
1627848161909,2021-08-01T16:02:41.909,0.080,-0.427,-0.610,-0.305
1627848161919,2021-08-01T16:02:41.919,0.090,-0.366,-0.549,-0.366
1627848161929,2021-08-01T16:02:41.929,0.100,-0.122,-0.305,-0.427
1627848161939,2021-08-01T16:02:41.939,0.110,0.061,-0.244,-0.549
1627848161949,2021-08-01T16:02:41.949,0.120,-0.122,-0.061,-0.610
1627848161959,2021-08-01T16:02:41.959,0.130,-0.305,0.000,-0.610
1627848161969,2021-08-01T16:02:41.969,0.140,-0.305,0.183,-0.610
1627848161979,2021-08-01T16:02:41.979,0.150,-0.549,0.061,-0.671
1627848161989,2021-08-01T16:02:41.989,0.160,-0.976,-0.061,-0.610
1627848161999,2021-08-01T16:02:41.999,0.170,-1.098,-0.061,-0.610
1627848162009,2021-08-01T16:02:42.009,0.180,-1.098,0.000,-0.671
1627848162019,2021-08-01T16:02:42.019,0.190,-1.098,0.061,-0.732
1627848162029,2021-08-01T16:02:42.029,0.200,-1.098,0.122,-0.671
1627848162039,2021-08-01T16:02:42.039,0.210,-0.915,0.244,-0.671
1627848162049,2021-08-01T16:02:42.049,0.220,-0.732,0.183,-0.610
1627848162059,2021-08-01T16:02:42.059,0.230,-0.549,0.427,-0.732
1627848162069,2021-08-01T16:02:42.069,0.240,-0.305,0.427,-0.793
1627848162079,2021-08-01T16:02:42.079,0.250,-0.122,0.488,-0.854
1627848162089,2021-08-01T16:02:42.089,0.260,-0.061,0.549,-0.854
1627848162099,2021-08-01T16:02:42.099,0.270,0.000,0.610,-0.793
