epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1627848419934,2021-08-01T16:06:59.934,0.000,0.326,-0.893,0.388
1627848419944,2021-08-01T16:06:59.944,0.010,0.331,-0.904,0.390
1627848419954,2021-08-01T16:06:59.954,0.020,0.329,-0.902,0.387
1627848419964,2021-08-01T16:06:59.964,0.030,0.328,-0.901,0.388
1627848419974,2021-08-01T16:06:59.974,0.040,0.326,-0.897,0.389
1627848419984,2021-08-01T16:06:59.984,0.050,0.324,-0.895,0.389
1627848419994,2021-08-01T16:06:59.994,0.060,0.328,-0.898,0.387
1627848420004,2021-08-01T16:07:00.004,0.070,0.331,-0.902,0.390
1627848420014,2021-08-01T16:07:00.014,0.080,0.332,-0.905,0.390
1627848420024,2021-08-01T16:07:00.024,0.090,0.333,-0.907,0.390
1627848420034,2021-08-01T16:07:00.034,0.100,0.328,-0.908,0.390
1627848420044,2021-08-01T16:07:00.044,0.110,0.325,-0.907,0.393
1627848420054,2021-08-01T16:07:00.054,0.120,0.318,-0.901,0.388
1627848420064,2021-08-01T16:07:00.064,0.130,0.318,-0.900,0.388
1627848420074,2021-08-01T16:07:00.074,0.140,0.320,-0.902,0.390
1627848420084,2021-08-01T16:07:00.084,0.150,0.319,-0.903,0.390
1627848420094,2021-08-01T16:07:00.094,0.160,0.320,-0.905,0.390
1627848420104,2021-08-01T16:07:00.104,0.170,0.317,-0.907,0.389
1627848420114,2021-08-01T16:07:00.114,0.180,0.316,-0.906,0.390
1627848420124,2021-08-01T16:07:00.124,0.190,0.318,-0.906,0.392
1627848420134,2021-08-01T16:07:00.134,0.200,0.319,-0.904,0.387
1627848420144,2021-08-01T16:07:00.144,0.210,0.319,-0.905,0.389
1627848420154,2021-08-01T16:07:00.154,0.220,0.317,-0.904,0.390
1627848420164,2021-08-01T16:07:00.164,0.230,0.318,-0.905,0.391
1627848420174,2021-08-01T16:07:00.174,0.240,0.319,-0.907,0.388
1627848420184,2021-08-01T16:07:00.184,0.250,0.316,-0.910,0.389
1627848420194,2021-08-01T16:07:00.194,0.260,0.315,-0.908,0.390
1627848420204,2021-08-01T16:07:00.204,0.270,0.318,-0.910,0.387
1627848420214,2021-08-01T16:07:00.214,0.280,0.320,-0.913,0.386
1627848420224,2021-08-01T16:07:00.224,0.290,0.320,-0.910,0.385
1627848420234,2021-08-01T16:07:00.234,0.300,0.319,-0.911,0.385
1627848420244,2021-08-01T16:07:00.244,0.310,0.317,-0.912,0.386
1627848420254,2021-08-01T16:07:00.254,0.320,0.317,-0.908,0.390
1627848420264,2021-08-01T16:07:00.264,0.330,0.319,-0.910,0.385
1627848420274,2021-08-01T16:07:00.274,0.340,0.320,-0.911,0.384
1627848420284,2021-08-01T16:07:00.284,0.350,0.322,-0.910,0.384
1627848420294,2021-08-01T16:07:00.294,0.360,0.324,-0.912,0.389
1627848420304,2021-08-01T16:07:00.304,0.370,0.320,-0.912,0.389
