epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1627848161817,2021-08-01T16:02:41.817,0.000,0.427,-0.891,0.242
1627848161827,2021-08-01T16:02:41.827,0.010,0.430,-0.899,0.246
1627848161837,2021-08-01T16:02:41.837,0.020,0.428,-0.899,0.245
1627848161847,2021-08-01T16:02:41.847,0.030,0.430,-0.899,0.247
1627848161857,2021-08-01T16:02:41.857,0.040,0.428,-0.897,0.247
1627848161867,2021-08-01T16:02:41.867,0.050,0.427,-0.896,0.243
1627848161877,2021-08-01T16:02:41.877,0.060,0.426,-0.895,0.243
1627848161887,2021-08-01T16:02:41.887,0.070,0.425,-0.896,0.245
1627848161897,2021-08-01T16:02:41.897,0.080,0.429,-0.898,0.244
1627848161907,2021-08-01T16:02:41.907,0.090,0.435,-0.895,0.245
1627848161917,2021-08-01T16:02:41.917,0.100,0.435,-0.898,0.245
1627848161927,2021-08-01T16:02:41.927,0.110,0.434,-0.901,0.243
1627848161937,2021-08-01T16:02:41.937,0.120,0.432,-0.898,0.245
1627848161947,2021-08-01T16:02:41.947,0.130,0.433,-0.897,0.244
1627848161957,2021-08-01T16:02:41.957,0.140,0.433,-0.896,0.245
1627848161967,2021-08-01T16:02:41.967,0.150,0.430,-0.895,0.240
1627848161977,2021-08-01T16:02:41.977,0.160,0.430,-0.893,0.243
1627848161987,2021-08-01T16:02:41.987,0.170,0.431,-0.893,0.243
1627848161997,2021-08-01T16:02:41.997,0.180,0.429,-0.895,0.242
1627848162007,2021-08-01T16:02:42.007,0.190,0.431,-0.896,0.244
1627848162017,2021-08-01T16:02:42.017,0.200,0.431,-0.897,0.244
1627848162027,2021-08-01T16:02:42.027,0.210,0.432,-0.897,0.243
1627848162037,2021-08-01T16:02:42.037,0.220,0.433,-0.898,0.243
1627848162047,2021-08-01T16:02:42.047,0.230,0.432,-0.899,0.245
1627848162057,2021-08-01T16:02:42.057,0.240,0.431,-0.899,0.243
1627848162067,2021-08-01T16:02:42.067,0.250,0.431,-0.901,0.243
1627848162077,2021-08-01T16:02:42.077,0.260,0.434,-0.899,0.241
1627848162087,2021-08-01T16:02:42.087,0.270,0.433,-0.896,0.241
1627848162097,2021-08-01T16:02:42.097,0.280,0.430,-0.896,0.241
1627848162107,2021-08-01T16:02:42.107,0.290,0.433,-0.896,0.242
1627848162117,2021-08-01T16:02:42.117,0.300,0.431,-0.897,0.244
1627848162127,2021-08-01T16:02:42.127,0.310,0.429,-0.895,0.244
1627848162137,2021-08-01T16:02:42.137,0.320,0.433,-0.895,0.246
