epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1604163372738,2020-10-31T12:56:12.738,0.000,99423.203
1604163372874,2020-10-31T12:56:12.874,0.136,99417.969
1604163373009,2020-10-31T12:56:13.009,0.271,99414.047
1604163373145,2020-10-31T12:56:13.145,0.407,99418.805
1604163373282,2020-10-31T12:56:13.282,0.544,99417.055
1604163373416,2020-10-31T12:56:13.416,0.678,99416.586
1604163373553,2020-10-31T12:56:13.553,0.815,99414.438
1604163373687,2020-10-31T12:56:13.687,0.949,99413.969
1604163373823,2020-10-31T12:56:13.823,1.085,99419.195
1604163373960,2020-10-31T12:56:13.960,1.222,99418.250
1604163374094,2020-10-31T12:56:14.094,1.356,99415.633
1604163374231,2020-10-31T12:56:14.231,1.493,99412.578
1604163374367,2020-10-31T12:56:14.367,1.629,99416.023
1604163374502,2020-10-31T12:56:14.502,1.764,99416.500
1604163374638,2020-10-31T12:56:14.638,1.900,99410.406
1604163374773,2020-10-31T12:56:14.773,2.035,99416.500
1604163374909,2020-10-31T12:56:14.909,2.171,99416.938
1604163375045,2020-10-31T12:56:15.045,2.307,99416.938
1604163375180,2020-10-31T12:56:15.180,2.442,99420.422
1604163375316,2020-10-31T12:56:15.316,2.578,99413.016
1604163375452,2020-10-31T12:56:15.452,2.714,99417.336
1604163375587,2020-10-31T12:56:15.587,2.849,99416.500
1604163375723,2020-10-31T12:56:15.723,2.985,99413.883
1604163375860,2020-10-31T12:56:15.860,3.122,99418.641
1604163375994,2020-10-31T12:56:15.994,3.256,99418.164
1604163376131,2020-10-31T12:56:16.131,3.393,99417.336
1604163376267,2020-10-31T12:56:16.267,3.529,99413.883
1604163376402,2020-10-31T12:56:16.402,3.664,99415.633
1604163376538,2020-10-31T12:56:16.538,3.800,99417.805
1604163376674,2020-10-31T12:56:16.674,3.936,99421.734
1604163376809,2020-10-31T12:56:16.809,4.071,99417.891
1604163376945,2020-10-31T12:56:16.945,4.207,99415.750
1604163377081,2020-10-31T12:56:17.081,4.343,99416.188
1604163377216,2020-10-31T12:56:17.216,4.478,99412.828
1604163377352,2020-10-31T12:56:17.352,4.614,99414.609
1604163377489,2020-10-31T12:56:17.489,4.751,99418.141
1604163377623,2020-10-31T12:56:17.623,4.885,99411.688
1604163377760,2020-10-31T12:56:17.760,5.022,99420.953
1604163377894,2020-10-31T12:56:17.894,5.156,99411.797
1604163378031,2020-10-31T12:56:18.031,5.293,99417.031
1604163378167,2020-10-31T12:56:18.167,5.429,99411.406
1604163378302,2020-10-31T12:56:18.302,5.564,99412.797
1604163378438,2020-10-31T12:56:18.438,5.700,99421.117
1604163378574,2020-10-31T12:56:18.574,5.836,99416.438
1604163378709,2020-10-31T12:56:18.709,5.971,99415.969
1604163378845,2020-10-31T12:56:18.845,6.107,99417.359
1604163378980,2020-10-31T12:56:18.980,6.242,99416.516
1604163379116,2020-10-31T12:56:19.116,6.378,99416.609
1604163379252,2020-10-31T12:56:19.252,6.514,99417.906
1604163379387,2020-10-31T12:56:19.387,6.649,99416.211
1604163379523,2020-10-31T12:56:19.523,6.785,99416.688
1604163379659,2020-10-31T12:56:19.659,6.921,99416.328
1604163379794,2020-10-31T12:56:19.794,7.056,99420.688
1604163379930,2020-10-31T12:56:19.930,7.192,99423.305
1604163380067,2020-10-31T12:56:20.067,7.329,99412.922
1604163380201,2020-10-31T12:56:20.201,7.463,99418.625
1604163380338,2020-10-31T12:56:20.338,7.600,99412.563
1604163380472,2020-10-31T12:56:20.472,7.734,99417.797
1604163380609,2020-10-31T12:56:20.609,7.871,99419.188
1604163380745,2020-10-31T12:56:20.745,8.007,99418.789
1604163380880,2020-10-31T12:56:20.880,8.142,99414.867
1604163381016,2020-10-31T12:56:21.016,8.278,99417.125
1604163381152,2020-10-31T12:56:21.152,8.414,99416.734
1604163381287,2020-10-31T12:56:21.287,8.549,99422.359
1604163381423,2020-10-31T12:56:21.423,8.685,99421.125
1604163381559,2020-10-31T12:56:21.559,8.821,99417.203
1604163381694,2020-10-31T12:56:21.694,8.956,99416.813
1604163381830,2020-10-31T12:56:21.830,9.092,99414.203
1604163381967,2020-10-31T12:56:21.967,9.229,99413.000
1604163382101,2020-10-31T12:56:22.101,9.363,99419.063
1604163382238,2020-10-31T12:56:22.238,9.500,99414.313
1604163382374,2020-10-31T12:56:22.374,9.636,99418.234
1604163382509,2020-10-31T12:56:22.509,9.771,99416.063
1604163382645,2020-10-31T12:56:22.645,9.907,99416.922
1604163382781,2020-10-31T12:56:22.781,10.043,99419.984
1604163382916,2020-10-31T12:56:22.916,10.178,99420.844
1604163383052,2020-10-31T12:56:23.052,10.314,99419.539
1604163383188,2020-10-31T12:56:23.188,10.450,99419.063
1604163383323,2020-10-31T12:56:23.323,10.585,99418.594
1604163383459,2020-10-31T12:56:23.459,10.721,99416.922
1604163383595,2020-10-31T12:56:23.595,10.857,99420.734
1604163383730,2020-10-31T12:56:23.730,10.992,99417.758
1604163383866,2020-10-31T12:56:23.866,11.128,99417.758
1604163384001,2020-10-31T12:56:24.001,11.263,99421.289
1604163384137,2020-10-31T12:56:24.137,11.399,99414.750
1604163384274,2020-10-31T12:56:24.274,11.536,99413.523
1604163384408,2020-10-31T12:56:24.408,11.670,99422.156
1604163384545,2020-10-31T12:56:24.545,11.807,99418.750
1604163384679,2020-10-31T12:56:24.679,11.941,99417.922
1604163384816,2020-10-31T12:56:24.816,12.078,99415.781
1604163384952,2020-10-31T12:56:24.952,12.214,99415.781
1604163385087,2020-10-31T12:56:25.087,12.349,99418.391
1604163385223,2020-10-31T12:56:25.223,12.485,99417.641
1604163385359,2020-10-31T12:56:25.359,12.621,99422.000
1604163385494,2020-10-31T12:56:25.494,12.756,99415.578
1604163385630,2020-10-31T12:56:25.630,12.892,99415.938
1604163385765,2020-10-31T12:56:25.765,13.027,99412.969
1604163385901,2020-10-31T12:56:25.901,13.163,99414.273
1604163386037,2020-10-31T12:56:26.037,13.299,99413.961
1604163386172,2020-10-31T12:56:26.172,13.434,99414.438
1604163386308,2020-10-31T12:56:26.308,13.570,99413.125
1604163386445,2020-10-31T12:56:26.445,13.707,99420.109
1604163386579,2020-10-31T12:56:26.579,13.841,99415.430
1604163386716,2020-10-31T12:56:26.716,13.978,99413.688
1604163386852,2020-10-31T12:56:26.852,14.114,99414.516
1604163386987,2020-10-31T12:56:26.987,14.249,99418.906
1604163387123,2020-10-31T12:56:27.123,14.385,99416.297
1604163387258,2020-10-31T12:56:27.258,14.520,99409.367
1604163387394,2020-10-31T12:56:27.394,14.656,99414.594
1604163387530,2020-10-31T12:56:27.530,14.792,99416.375
1604163387665,2020-10-31T12:56:27.665,14.927,99410.750
1604163387801,2020-10-31T12:56:27.801,15.063,99414.203
1604163387937,2020-10-31T12:56:27.937,15.199,99410.391
1604163388072,2020-10-31T12:56:28.072,15.334,99410.391
1604163388208,2020-10-31T12:56:28.208,15.470,99412.063
1604163388343,2020-10-31T12:56:28.343,15.605,99413.008
1604163388479,2020-10-31T12:56:28.479,15.741,99409.531
1604163388615,2020-10-31T12:56:28.615,15.877,99412.141
1604163388750,2020-10-31T12:56:28.750,16.012,99410.000
1604163388886,2020-10-31T12:56:28.886,16.148,99411.313
1604163389023,2020-10-31T12:56:29.023,16.285,99415.227
1604163389157,2020-10-31T12:56:29.157,16.419,99407.000
1604163389294,2020-10-31T12:56:29.294,16.556,99413.086
1604163389428,2020-10-31T12:56:29.428,16.690,99412.609
1604163389565,2020-10-31T12:56:29.565,16.827,99415.703
1604163389701,2020-10-31T12:56:29.701,16.963,99414.000
1604163389836,2020-10-31T12:56:29.836,17.098,99409.172
1604163389972,2020-10-31T12:56:29.972,17.234,99418.750
1604163390108,2020-10-31T12:56:30.108,17.370,99413.086
1604163390244,2020-10-31T12:56:30.244,17.506,99413.922
